subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.5756164767018639,0.0,-1.5756164767018639,0.0,-1.5756164767018639,20.040080160320645
2,-1.5756164767018639,1.3067256675849046e-30,-1.5756164767018639,1.3067256675848834e-30,-1.647640847383784,24.813895781637715
3,-1.6119451785021048,2.0000000000000004,-1.6119451785021044,1.9999999999999998,-1.6527669810818442,24.813895781637715
4,-1.6572441171647454,1.8718437014822633,-1.6572441171647438,1.8718437014822629,-1.7431945469626284,30.769230769230763
5,-1.657244117164743,1.8718437014822622,-1.7222918240955334,2.0,-1.817741361712278,30.769230769230763
6,-1.6572441171647458,1.871843701482262,-1.7222918240955356,2.0,-1.888838956657172,33.222591362126245
7,-1.67608303479755,0.15736295310954773,-1.7222918240955365,2.0000000000000004,-1.8891500937418877,33.222591362126245
8,-1.7398948563091943,0.8923554131370353,-1.7222918240955383,2.0000000000000004,-1.8895929517588512,33.222591362126245
9,-1.7398948563091954,0.8923554131370408,-1.7222918240955365,2.000000000000001,-1.890599881169059,33.222591362126245
10,-1.7555352318334612,1.9357404925579038,-1.7399995913022857,5.1919428656288975,-1.893140342760068,33.222591362126245
11,-1.7982004555735924,1.5114084965765242,-1.8400816452333648,6.000000000000001,-1.8935950444783498,33.222591362126245
12,-1.7982004555735938,1.5114084965765264,-1.8400816452333635,6.000000000000002,-1.8957057519727245,37.174721189591075
13,-1.8447658092129398,1.5504463553453625,-1.8400816452333655,6.000000000000003,-1.896145096960119,43.29004329004329
14,-1.8447658092129415,1.5504463553453622,-1.8400816452333693,6.000000000000001,-1.8964896888926777,43.29004329004329
15,-1.876226196071782,2.0000000000000004,-1.8464104816198632,-5.1572129366301506e-18,-1.897100872644667,57.8034682080925
16,-1.8790038845896007,1.5792890820246532,-1.846410481619867,-4.413679950144518e-18,-1.897555921090376,60.975609756097555
17,-1.8793374174380377,1.5699086887133713,-1.8762261960717828,2.0000000000000004,-1.8976143299228911,60.975609756097555
18,-1.8793374174380346,1.5699086887133702,-1.8937240507176503,-1.9603589883547868e-18,-1.8976545830127005,71.94244604316548
19,-1.879337417438033,1.5699086887133713,-1.89407488592396,0.0007178078125078535,-1.897753648607517,99.009900990099
20,-1.8793374174380375,1.569908688713368,-1.8942861393409316,1.9177582438231096e-18,-1.8977806459898696,99.009900990099
21,-1.879337417438034,1.5699086887133722,-1.8942861393409334,2.4651879293946488e-17,-1.8977806459898747,101.010101010101
22,-1.8793374174380304,1.5699086887133715,-1.8942861393409371,-8.651685799127481e-21,-1.8977806459898714,102.04081632653062
23,-1.8793374174380335,1.569908688713367,-1.894286139340933,4.7644654492351216e-18,-1.89778064598987,102.04081632653062
24,-1.8793374174380317,1.5699086887133722,-1.8942861393409307,-1.0413879806175554e-17,-1.897780645989865,104.1666666666667
25,-1.8793374174380288,1.5699086887133737,-1.8942861393409323,2.5664720737246175e-18,-1.8977806459898727,105.26315789473685
26,-1.8793374174380295,1.5699086887133729,-1.8942861393409334,-1.2261967121692451e-17,-1.8977806459898718,119.04761904761905
27,-1.8793374174380297,1.5699086887133729,-1.8942861393409305,-1.2628868737343887e-18,-1.8977806459898738,119.04761904761905
28,-1.8793374174380306,1.5699086887133702,-1.8942861393409312,2.125850246696566e-17,-1.897780645989874,119.04761904761905
29,-1.879337417438033,1.5699086887133726,-1.8942861393409312,1.1073539733714631e-17,-1.897780645989872,128.2051282051282
30,-1.8793374174380326,1.569908688713372,-1.8942861393409303,7.950168238773938e-19,-1.897780645989874,128.2051282051282
31,-1.879337417438031,1.569908688713371,-1.8942861393409283,4.50762800113038e-18,-1.897780645989873,133.33333333333334
32,-1.8793374174380308,1.5699086887133729,-1.894286139340931,-6.8760717628334876e-18,-1.8977806459898643,133.33333333333334
33,-1.8793374174380304,1.569908688713372,-1.8942861393409356,-1.391204777673767e-17,-1.8977806459898783,140.84507042253523
34,-1.8793374174380255,1.5699086887133724,-1.8942861393409334,-6.251620872946878e-18,-1.8977806459898778,153.84615384615384
35,-1.8793374174380293,1.5699086887133715,-1.8942861393409278,-6.895240488756664e-18,-1.8977806459898707,153.84615384615384
36,-1.8793374174380293,1.5699086887133717,-1.8942861393409258,-6.728934713156377e-18,-1.8977806459898705,153.84615384615384
37,-1.8793374174380328,1.5699086887133726,-1.8942861393409278,7.11396784800491e-18,-1.8977806459898712,153.84615384615384
38,-1.879337417438034,1.5699086887133724,-1.8942861393409327,-6.986390437362827e-18,-1.8977806459898745,153.84615384615384
39,-1.8793374174380286,1.5699086887133724,-1.894286139340929,-1.3827953273966823e-17,-1.8977806459898727,153.84615384615384
40,-1.8793374174380297,1.5699086887133715,-1.894286139340927,6.472139280804258e-18,-1.897780645989871,156.25
41,-1.8793374174380333,1.569908688713372,-1.894286139340934,3.482710441211299e-18,-1.897780645989873,156.25
42,-1.879337417438033,1.5699086887133724,-1.894286139340933,-9.687229698021355e-18,-1.897780645989873,156.25
43,-1.879337417438032,1.5699086887133722,-1.894286139340928,-1.1275088949316313e-18,-1.8977806459898743,156.25
44,-1.8793374174380293,1.569908688713372,-1.894286139340928,-5.7489522909458806e-18,-1.8977806459898765,156.25
45,-1.879337417438034,1.5699086887133722,-1.8942861393409318,8.997944700177166e-28,-1.897780645989874,156.25
46,-1.8793374174380317,1.5699086887133717,-1.894286139340931,1.425773652637908e-17,-1.8977806459898736,163.93442622950818
47,-1.8793374174380282,1.5699086887133724,-1.8942861393409394,-4.332210808446951e-18,-1.8977806459898756,163.93442622950818
48,-1.8793374174380337,1.5699086887133722,-1.8942861393409265,-3.7447633987131075e-18,-1.8977806459898745,163.93442622950818
49,-1.8793374174380353,1.5699086887133722,-1.8942861393409316,1.9084172472155916e-20,-1.8977806459898794,163.93442622950818
50,-1.8793374174380317,1.5699086887133713,-1.894286139340928,7.299688743717164e-18,-1.8977806459898663,163.93442622950818
51,-1.879337417438029,1.5699086887133729,-1.8942861393409285,-5.7971234420134586e-18,-1.8977806459898734,163.93442622950818
52,-1.8793374174380277,1.569908688713372,-1.8942861393409312,5.970785103777692e-18,-1.8977806459898734,163.93442622950818
53,-1.8795407300653293,1.5634233942416462,-1.8942861393409294,-1.423233731890693e-17,-1.897780645989875,166.66666666666666
54,-1.8795407300653342,1.5634233942416453,-1.894286139340932,-4.7203344709101474e-18,-1.8977806459898736,169.49152542372883
55,-1.8796598481111784,1.5668525577578991,-1.8942861393409263,-3.0183678032238298e-18,-1.8977806459898683,169.49152542372883
56,-1.879659848111176,1.5668525577579,-1.8942861393409327,-3.1252393530058076e-18,-1.8977806459898683,169.49152542372883
57,-1.8796598481111768,1.5668525577578973,-1.894286139340933,-1.6581558512629195e-20,-1.8977806459898718,169.49152542372883
58,-1.8796598481111721,1.5668525577578984,-1.8942861393409332,-1.3384316790209083e-17,-1.8977806459898763,169.49152542372883
59,-1.8796598481111746,1.566852557757899,-1.894286139340927,-1.0303107132456217e-17,-1.8977806459898692,172.41379310344826
60,-1.8796598481111704,1.5668525577578978,-1.8942861393409296,5.387800439115554e-18,-1.8977806459898774,172.41379310344826
61,-1.879659848111175,1.5668525577578984,-1.894286139340936,-7.8531911795022e-18,-1.8977806459898645,172.41379310344826
62,-1.8796598481111724,1.5668525577578982,-1.8942861393409334,1.47881581784207e-18,-1.8977806459898747,175.43859649122805
63,-1.880028491401752,1.5515743514925284,-1.894286139340931,1.534827498720631e-28,-1.8977806459898727,178.57142857142856
64,-1.8800284914017507,1.551574351492529,-1.8942861393409307,7.939843275346451e-18,-1.8977806459898774,178.57142857142856
65,-1.880028491401752,1.551574351492528,-1.8942861393409396,5.264828946958592e-18,-1.8977806459898752,178.57142857142856
66,-1.8800284914017467,1.5515743514925284,-1.8942861393409365,7.419710656250499e-18,-1.8977806459898732,178.57142857142856
67,-1.8800284914017553,1.551574351492528,-1.894286139340928,-2.185069814145793e-18,-1.897780645989869,181.81818181818184
68,-1.8800284914017502,1.5515743514925264,-1.8942861393409356,-5.9408862299082226e-18,-1.8977806459898736,188.67924528301887
69,-1.880028491401753,1.5515743514925295,-1.8942861393409347,8.32749950642939e-18,-1.897780645989875,188.67924528301887
70,-1.8800284914017513,1.5515743514925293,-1.8942861393409283,-3.2120921824962305e-18,-1.8977806459898694,188.67924528301887
71,-1.8800284914017522,1.551574351492529,-1.8942861393409265,-2.1231139861692635e-17,-1.8977806459898727,188.67924528301887
72,-1.8800284914017502,1.5515743514925302,-1.8942861393409294,-6.529273867909326e-18,-1.897780645989873,196.07843137254898
73,-1.8800284914017478,1.55157435149253,-1.8942861393409287,2.680103757857345e-19,-1.897780645989867,196.07843137254898
74,-1.8800284914017478,1.5515743514925284,-1.8942861393409278,-1.602398286843964e-18,-1.8977806459898727,196.07843137254898
75,-1.88002849140175,1.5515743514925286,-1.8942861393409254,6.928654599613085e-18,-1.8977806459898723,196.07843137254898
76,-1.8800284914017542,1.5515743514925298,-1.8944998842935425,0.0003291127555104597,-1.8977806459898652,200.0
77,-1.8800284914017509,1.551574351492528,-1.8946508953030068,-5.3148568778536005e-18,-1.8977806459898743,200.0
78,-1.88002849140175,1.5515743514925273,-1.8946508953030077,-3.444609404605034e-19,-1.8977806459898792,204.08163265306126
79,-1.8800284914017482,1.5515743514925278,-1.8946508953030108,7.330013478988449e-18,-1.8977806459898725,204.08163265306126
80,-1.880028491401752,1.5515743514925302,-1.8946508953030063,-6.334922037493462e-18,-1.8977806459898707,204.08163265306126
81,-1.8800284914017544,1.5515743514925302,-1.89465089530301,-1.0831401124394376e-18,-1.8977806459898694,204.08163265306126
82,-1.8800284914017529,1.5515743514925275,-1.8946508953030041,-2.6589567447355523e-19,-1.897780645989869,204.08163265306126
83,-1.8800284914017513,1.551574351492528,-1.8946508953030095,1.9434359733855642e-19,-1.8977806459898745,204.08163265306126
84,-1.8800284914017447,1.5515743514925278,-1.894650895303006,-7.668148643241208e-18,-1.897780645989873,208.33333333333331
85,-1.8800284914017564,1.5515743514925293,-1.8946508953030061,6.931382444110308e-18,-1.8977806459898725,208.33333333333331
86,-1.8800284914017533,1.551574351492529,-1.8950400286379128,0.0015096462673141859,-1.8977806459898714,212.7659574468085
87,-1.8800284914017522,1.5515743514925286,-1.8951880539848724,-3.504692054421952e-18,-1.8977806459898692,212.7659574468085
88,-1.8800284914017507,1.5515743514925286,-1.8951880539848678,6.991439821833229e-18,-1.8977806459898707,212.7659574468085
89,-1.8800284914017542,1.5515743514925289,-1.8951880539848678,1.2770111932101833e-17,-1.8977806459898727,217.3913043478261
90,-1.880152895370224,1.5536100971176225,-1.895188053984862,-6.248215068252225e-20,-1.897780645989869,217.3913043478261
91,-1.8801528953702262,1.553610097117623,-1.895188053984865,-3.6045952411185506e-19,-1.8977806459898716,217.3913043478261
92,-1.8801528953702311,1.553610097117622,-1.8951880539848733,-1.0322870580167964e-17,-1.8977806459898698,232.5581395348837
93,-1.8801528953702298,1.5536100971176234,-1.8951880539848691,4.564946383892687e-19,-1.8977806459898763,243.90243902439022
94,-1.880152895370229,1.553610097117624,-1.8951880539848687,-3.6810299173934364e-18,-1.8977806459898754,250.00000000000006
