subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.5756164767018666,0.0,-1.5756164767018666,0.0,-1.5756164767018666,10.940919037199123
2,-1.5756164767018666,1.2445292921949372e-30,-1.5756164767018666,1.2445292921949575e-30,-1.647640847383797,13.623978201634879
3,-1.6119451785021182,1.9999999999999998,-1.6119451785021182,2.0,-1.6527669810818562,13.623978201634879
4,-1.6572441171647514,1.8718437014822822,-1.6572441171647487,1.8718437014822822,-1.7431945469626358,15.576323987538945
5,-1.7222918240955354,2.0000000000000004,-1.722291824095539,2.0,-1.8177413617122762,15.576323987538945
6,-1.722291824095539,2.0000000000000004,-1.722291824095537,2.0,-1.8888389566571728,20.408163265306122
7,-1.7222918240955392,2.0,-1.7222918240955403,1.9999999999999996,-1.8891500937418853,22.727272727272727
8,-1.7222918240955403,2.0,-1.7222918240955363,2.0,-1.8895929517588623,22.727272727272727
9,-1.7398948563091952,0.8923554131369917,-1.753623550501572,0.8840337040108763,-1.8905998811690705,22.727272727272727
10,-1.7982004555735964,1.5114084965765133,-1.757556448338758,0.4443908745598521,-1.8931403427600666,22.727272727272727
11,-1.7982004555735942,1.5114084965765124,-1.8008589758606515,2.14283195563028,-1.8935950444783527,22.727272727272727
12,-1.8447658092129366,1.5504463553453354,-1.8400816452333644,6.000000000000002,-1.895705751972714,22.727272727272727
13,-1.8447658092129375,1.5504463553453323,-1.8400816452333657,6.000000000000001,-1.8961450969601157,31.645569620253163
14,-1.84476580921294,1.5504463553453345,-1.840081645233364,6.000000000000002,-1.8964896888926792,31.645569620253163
15,-1.844765809212942,1.5504463553453363,-1.8464104816198654,-6.679915617139107e-18,-1.8971008726446685,39.0625
16,-1.876226196071787,2.0000000000000004,-1.846410481619873,-4.7501115053453096e-18,-1.8975559210903783,42.73504273504273
17,-1.8762261960717876,2.0,-1.8464104816198639,-1.348400096493172e-17,-1.8976143299228878,51.54639175257732
