subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.353341091932204,0.0,-1.353341091932204,0.0,-1.575616476701866,10.94091903719912
2,-1.353341091932204,5.38990415558857e-29,-1.353341091932204,5.389904155588642e-29,-1.6476408473837905,13.623978201634873
3,-1.4499340432716812,1.9999999999999998,-1.4499340432716812,2.0000000000000004,-1.6527669810818497,13.623978201634873
4,-1.4973333002670404,1.7315416198944151,-1.4973333002670408,1.731541619894414,-1.743194546962632,15.57632398753894
5,-1.5737705940443838,2.000000000000001,-1.573770594044382,2.000000000000001,-1.8177413617122764,15.57632398753894
6,-1.5737705940443836,2.0,-1.5737705940443805,2.0,-1.8888389566571733,20.40816326530611
7,-1.5737705940443851,2.0,-1.5737705940443827,2.0,-1.889150093741884,22.727272727272716
8,-1.5737705940443794,1.9999999999999996,-1.573770594044384,2.0000000000000004,-1.8895929517588574,22.727272727272716
9,-1.5924943324664544,1.9621241806780003,-1.6341172919457643,1.3763425353421486,-1.8905998811690605,22.727272727272716
10,-1.6860650336237792,2.7071183894585666,-1.661997830422983,3.3286562436151175,-1.8931403427600646,22.727272727272716
11,-1.6860650336237777,2.7071183894585658,-1.7378329453771264,4.923753378959018,-1.8935950444783543,22.727272727272716
12,-1.7413665688226811,2.3765762620117936,-1.8400816452333655,6.000000000000002,-1.895705751972719,22.727272727272716
13,-1.7413665688226778,2.376576262011792,-1.8400816452333661,6.000000000000002,-1.896145096960117,31.64556962025315
14,-1.7413665688226803,2.3765762620117927,-1.840081645233364,6.000000000000001,-1.8964896888926772,31.64556962025315
15,-1.7413665688226754,2.3765762620117923,-1.840081645233363,6.0,-1.8971008726446648,39.062499999999986
16,-1.792232819388606,2.0000000000000004,-1.8400816452333653,6.0,-1.8975559210903798,42.73504273504272
17,-1.792232819388614,2.0000000000000004,-1.8400816452333686,6.000000000000002,-1.897614329922883,51.54639175257729
18,-1.7942513920227925,2.0840345553680035,-1.8400816452333633,6.000000000000001,-1.8976545830127036,51.54639175257729
19,-1.794251392022793,2.084034555368004,-1.8400816452333704,6.000000000000001,-1.8977536486075157,63.2911392405063
20,-1.7942513920227923,2.0840345553680013,-1.8400816452333617,6.0,-1.8977806459898696,70.42253521126756
21,-1.7942513920227925,2.084034555368004,-1.8400816452333661,6.0,-1.8977806459898765,73.52941176470586
22,-1.7942513920227956,2.0840345553680035,-1.8400816452333617,6.000000000000001,-1.897780645989876,76.92307692307689
23,-1.7942513920227945,2.0840345553680035,-1.840081645233366,6.000000000000003,-1.8977806459898725,76.92307692307689
24,-1.7942513920227887,2.0840345553680026,-1.8400816452333624,6.000000000000002,-1.8977806459898705,76.92307692307689
25,-1.7942513920227954,2.0840345553680035,-1.8400816452333637,6.000000000000001,-1.8977806459898705,80.64516129032255
26,-1.7942513920227938,2.084034555368005,-1.8400816452333668,6.000000000000002,-1.8977806459898743,80.64516129032255
27,-1.8084448456770512,1.9533472394598248,-1.8400816452333657,6.000000000000002,-1.897780645989872,80.64516129032255
28,-1.8084448456770528,1.953347239459825,-1.8400816452333681,6.000000000000001,-1.8977806459898683,96.1538461538461
29,-1.8084448456770512,1.953347239459825,-1.8400816452333675,6.000000000000002,-1.8977806459898732,116.27906976744181
30,-1.8084448456770588,1.9533472394598246,-1.8400816452333704,6.000000000000002,-1.897780645989872,116.27906976744181
31,-1.808444845677059,1.953347239459825,-1.8400816452333641,6.000000000000002,-1.8977806459898738,116.27906976744181
32,-1.808444845677055,1.9533472394598252,-1.8400816452333595,6.0,-1.897780645989874,121.95121951219507
33,-1.808444845677052,1.9533472394598255,-1.8400816452333673,6.000000000000001,-1.8977806459898774,121.95121951219507
34,-1.808444845677055,1.953347239459825,-1.8400816452333628,6.0,-1.8977806459898754,121.95121951219507
35,-1.8084448456770525,1.9533472394598248,-1.8400816452333644,5.999999999999998,-1.8977806459898712,131.578947368421
36,-1.8084448456770532,1.9533472394598248,-1.8400816452333657,6.0,-1.8977806459898743,138.88888888888883
37,-1.8084448456770568,1.9533472394598252,-1.8401933903508798,2.0000000000000004,-1.8977806459898694,138.88888888888883
