basis,subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
6-31g,1,-1.0465882364452783,-1.0465882364452783,1.504074852931906
6-31g,2,-1.0465882364452783,-1.080011400682336,5.385870411206983
6-31g,3,-1.0465882364452785,-1.1022349555252058,8.770081698765347
6-31g,4,-1.0836171557110164,-1.1029029288848076,31.404370223445646
6-31g,5,-1.0837250125150049,-1.10352858599697,603.1084361360823
6-31g,6,-1.0838196977504082,-1.1044957409081269,1362.052915571117
6-31g,7,-1.0841219459653064,-1.1053671850927662,2736.0336529270594
6-31g,8,-1.0857095382810016,-1.1062501751497307,3516.6536079089046
6-31g,9,-1.086143013797551,-1.107047170922308,4696.774688267898
6-31g,10,-1.0877259939768322,-1.1071667497227846,4877.310781556426
6-31g,11,-1.0878128040517916,-1.1072807842081098,9797.333335266881
6-31g,12,-1.087891470697437,-1.1073289852310086,27386.33496631399
6-31g,13,-1.088133460410435,-1.1073289852310204,546160.0546298596
6-31g,14,-1.0881526470942988,-1.1073289852310295,1097102.9629382666
6-31g,15,-1.0881696552947362,-1.1073289852310437,4253282.770778122
6-31g,16,-1.08837100490209,-1.107328985231055,8543812.551793756
6-31g,17,-1.0883710049020916,-1.1073289852310564,4623195697253.993
6-31g,18,-1.0883710049020832,-1.1073289852310586,7056720066197.836
6-31g,19,-1.0883710049020896,-1.1073289852310582,16554982527954.809
6-31g,20,-1.08837100490209,-1.1073289852310595,41146895970790.95
6-31g,21,-1.0883710049020912,-1.1073289852310566,47601138265610.21
6-31g,22,-1.0883710049020967,-1.1073289852310555,223412526631636.75
6-31g,23,-1.088371004902124,-1.1073289852310584,277556579534494.2
6-31g,24,-1.0883710049021456,-1.1073289852310562,800007336302683.5
6-31g,25,-1.0883710049021558,-1.1073289852310597,1853822847630895.0
6-31g,26,-1.0883710049021613,-1.1073289852310548,6390390825162682.0
6-31g,27,-1.0883710049021635,-1.107328985231056,1.283674382479489e+16
6-31g,28,-1.0883710049021633,-1.1073289852310588,1.4436853649668006e+16
6-31g,29,-1.088371004902158,-1.1073289852310533,4.310641124861197e+16
6-31g,30,-1.0883710049021633,-1.107328985231058,8.65903156072778e+16
6-31g,31,-1.088371004902162,-1.107328985231058,8.958462358725813e+16
6-31g,32,-1.088371004902161,-1.107328985231053,6.976503184471094e+17
