basis,subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
6-31g*,1,-1.046588236445277,-1.046588236445277,1.5040748529326073
6-31g*,2,-1.046588236445277,-1.0800114006823347,5.385870411198979
6-31g*,3,-1.046588236445277,-1.1022349555252056,8.77008169876141
6-31g*,4,-1.0836171557110046,-1.1029029288848042,31.4043702233703
6-31g*,5,-1.0837250125149915,-1.10352858599697,603.1084361418724
6-31g*,6,-1.083819697750396,-1.1044957409081109,1362.052915591646
6-31g*,7,-1.0841219459652947,-1.1053671850927382,2736.0336529201986
6-31g*,8,-1.0857095382809696,-1.1062501751496951,3516.653607939449
6-31g*,9,-1.0861430137975114,-1.1070471709222676,4696.774688252997
6-31g*,10,-1.087725993976774,-1.1071667497227404,4877.310781620415
6-31g*,11,-1.0878128040517336,-1.107280784208071,9797.333335223186
6-31g*,12,-1.08789147069738,-1.107328985230965,27386.33496620203
6-31g*,13,-1.0881334604103754,-1.1073289852309884,546160.0546430798
6-31g*,14,-1.0881526470942426,-1.1073289852310078,1097102.9629455355
6-31g*,15,-1.0881696552946796,-1.1073289852310344,4253282.770826747
6-31g*,16,-1.0883710049020334,-1.1073289852310564,8543812.551741231
6-31g*,17,-1.0883710049020416,-1.1073289852310548,6845625090732.305
6-31g*,18,-1.0883710049020396,-1.1073289852310553,7382281240531.426
6-31g*,19,-1.0883710049020479,-1.1073289852310537,24755939947564.66
6-31g*,20,-1.0883710049020476,-1.1073289852310528,26434861285712.047
6-31g*,21,-1.0883710049020494,-1.1073289852310568,39916026258769.836
6-31g*,22,-1.088371004902052,-1.1073289852310615,67368278695363.42
6-31g*,23,-1.0883710049021087,-1.10732898523106,144348943436195.72
6-31g*,24,-1.0883710049021456,-1.1073289852310548,241235878766147.34
6-31g*,25,-1.0883710049021595,-1.1073289852310577,2960169226605431.5
6-31g*,26,-1.0883710049021744,-1.1073289852310573,6199228446442911.0
6-31g*,27,-1.0883710049021738,-1.10732898523106,1.2452745012656418e+16
6-31g*,28,-1.08837100490217,-1.1073289852310522,2.241836576021989e+16
6-31g*,29,-1.0883710049021695,-1.1073289852310553,2.3052650341509476e+16
6-31g*,30,-1.0883710049021715,-1.1073289852310553,2.701353402053735e+16
6-31g*,31,-1.088371004902176,-1.107328985231059,4.503305448804234e+16
6-31g*,32,-1.0883710049021713,-1.1073289852310542,2.1037093037324842e+17
