basis,subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
6-31g,1,-1.0465882364452788,-1.0465882364452788,1.5040748529324286
6-31g,2,-1.0465882364452788,-1.0800114006823365,5.385870411195687
6-31g,3,-1.0465882364452785,-1.1022349555252078,8.770081698754058
6-31g,4,-1.0836171557110168,-1.1029029288848053,31.404370223328446
6-31g,5,-1.0837250125150057,-1.1035285859969703,603.1084361332337
6-31g,6,-1.083819697750409,-1.1044957409081326,1362.0529155793818
6-31g,7,-1.0841219459653098,-1.1053671850927762,2736.0336529203582
6-31g,8,-1.0857095382810131,-1.1062501751497493,3516.653607886545
6-31g,9,-1.086143013797561,-1.1070471709223293,4696.774688264343
6-31g,10,-1.08772599397685,-1.1071667497228015,4877.310781574095
6-31g,11,-1.0878128040518116,-1.1072807842081316,9797.333335218937
6-31g,12,-1.087891470697461,-1.1073289852310257,27386.334966248476
6-31g,13,-1.0881334604104522,-1.10732898523103,546160.054630404
6-31g,14,-1.08815264709432,-1.1073289852310388,1097102.9629300162
6-31g,15,-1.0881696552947564,-1.1073289852310515,4253282.770799235
6-31g,16,-1.0883710049021111,-1.1073289852310615,8543812.551763397
6-31g,17,-1.0883710049021147,-1.107328985231056,60759128233746.35
6-31g,18,-1.0883710049021167,-1.1073289852310542,115736744916807.25
6-31g,19,-1.0883710049021167,-1.1073289852310564,129280037513904.9
6-31g,20,-1.0883710049021162,-1.1073289852310593,297456960504213.94
6-31g,21,-1.0883710049021325,-1.1073289852310588,354279255128912.7
6-31g,22,-1.08837100490215,-1.1073289852310582,462932763918484.6
6-31g,23,-1.088371004902148,-1.107328985231055,674847203574553.8
6-31g,24,-1.0883710049021522,-1.1073289852310564,1065149542892700.5
6-31g,25,-1.0883710049021496,-1.1073289852310562,5.183909636970559e+16
6-31g,26,-1.0883710049021476,-1.1073289852310577,5.502196090672463e+16
6-31g,27,-1.0883710049021542,-1.1073289852310584,1.0480832822000946e+17
6-31g,28,-1.088371004902154,-1.1073289852310588,1.1052576222887075e+17
6-31g,29,-1.0883710049021578,-1.1073289852310573,1.1927518229092323e+17
6-31g,30,-1.0883710049021584,-1.1073289852310588,2.1053448793088086e+17
6-31g,31,-1.0883710049021653,-1.1073289852310575,4.0370278559774234e+17
6-31g,32,-1.0883710049021564,-1.1073289852310604,9.288688791661087e+17
