subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
1,-2.368421284279993,-2.368421284279993,16.36528683995877
2,-2.368421284279993,-2.412439241406242,20.03839126758277
3,-2.3737005720810176,-2.434466278620996,20.038391750371016
4,-2.4124392414062408,-2.487184554974711,24.53590567606874
5,-2.412439241406245,-2.533419815702639,29.30116219096528
6,-2.4429895830719888,-2.5570312336105614,29.301162303758804
7,-2.4429895830719897,-2.5980858084936767,35.67400359683709
8,-2.44298958307199,-2.6338216476590834,35.67400437479974
9,-2.457171413138815,-2.648570175915637,35.87765728272099
10,-2.4913614766899626,-2.6488808405717883,35.877658285236755
11,-2.491361476689967,-2.649258693853705,38.58025894613988
12,-2.5170097765410846,-2.6597513177292296,38.58025947377293
13,-2.5299953566702365,-2.660346179124108,43.680851104806976
14,-2.5485349888515536,-2.6892180068888787,43.68085120464454
15,-2.5485349888515634,-2.7168830145238614,47.23940020731564
16,-2.548534988851558,-2.717308868066626,47.23940069940473
17,-2.5551744241758265,-2.717801059598683,47.24653663186251
18,-2.5795046404260846,-2.7354108019709003,47.246538437632104
19,-2.6044835955320935,-2.753253739113563,52.46214853685984
20,-2.604483595532098,-2.7688042731063605,57.850780077124625
21,-2.6044835955321,-2.7844373070885933,57.8507808943815
22,-2.604483595532095,-2.792861465760522,63.87237667229522
23,-2.6211931656489607,-2.7930092954198558,63.87237831106917
24,-2.621193165648957,-2.7931733518507804,68.8940981658821
25,-2.6211931656489598,-2.81107921058654,68.89409890756443
26,-2.638402607475318,-2.8292825635469026,69.07586990715593
27,-2.6576730800310746,-2.8293156642640636,69.07587111775894
28,-2.671237787800302,-2.8293803935612027,77.76426852921533
29,-2.671237787800307,-2.8294510828142934,83.88457555594354
30,-2.671237787800302,-2.8294978420157855,83.88457864595208
31,-2.6712377878003015,-2.8295418461679214,84.09949233971086
32,-2.6712377878002984,-2.829578075523308,84.09949302354951
33,-2.671237787800301,-2.829626455366484,84.35702492953077
34,-2.6720749571527094,-2.8296669831029564,84.35702605380925
35,-2.688371369472474,-2.8297222618941205,84.59237203416313
36,-2.703668636432682,-2.829781933423608,84.5923755929306
37,-2.7036686364326847,-2.829893600409867,90.95082874277178
38,-2.7036686364326883,-2.8300189558738973,102.71203940644337
39,-2.7036686364326803,-2.830155330868304,102.71204071533045
40,-2.711583651280518,-2.8303302366996577,102.9907493209233
41,-2.722829794216624,-2.830379395849512,102.99075101126893
42,-2.7228297942166257,-2.8304329603410787,111.38109953830565
43,-2.7312885779285576,-2.830585595465805,111.38110227203265
44,-2.7406711056454713,-2.8308231457728588,123.35116176698077
45,-2.7516028013360376,-2.83086479751726,123.35116356975792
46,-2.7516028013360447,-2.831003146054729,136.40062229596134
47,-2.7516028013360363,-2.831158308706817,150.1793617346396
48,-2.7516028013360394,-2.8313533716948283,150.17936339292137
49,-2.758473022738569,-2.831577586472661,150.19080189193784
50,-2.7680747633420992,-2.831703200007542,150.1908080025841
51,-2.768074763342093,-2.831781177107091,162.41402926253303
52,-2.772302343430533,-2.831909792640208,162.414029735272
53,-2.7791726068842264,-2.8319771149813433,182.85647814337295
54,-2.7871682056141327,-2.8320368436797323,182.85648089150135
55,-2.7871682056141327,-2.832113216798746,197.75325189495828
56,-2.787168205614139,-2.8321820105286704,197.7532564749609
57,-2.7918994124868792,-2.8323055685980028,198.89706789664828
58,-2.8024623916602716,-2.8324037164291487,198.8970733572888
59,-2.8024623916602787,-2.8325214419837166,242.17454033053247
60,-2.8024802791496177,-2.832618668635145,242.17454066563292
61,-2.811015915795635,-2.8327914937018526,290.02833006254235
