subspace_size,qsci_energy,spin_symm_energy,fci_subspace_energy,mean_sample_number
1,-2.3684212842799957,-2.3684212842799957,-2.3684212842799957,16.365286829930938
2,-2.3684212842799957,-2.3684212842799957,-2.4124392414062212,20.03839125895487
3,-2.373700572080986,-2.3737005720809843,-2.4344662786209805,20.03839125895487
4,-2.4124392414062195,-2.4124392414062217,-2.4871845549746934,24.535905669917927
5,-2.4124392414062195,-2.41243924140622,-2.5334198157026284,29.301162182269874
6,-2.4429895830719763,-2.4429895830719732,-2.557031233610547,29.301162182269874
7,-2.442989583071976,-2.442989583071976,-2.598085808493666,35.674003592537886
8,-2.4429895830719737,-2.442989583071979,-2.6338216476590675,35.674003592537886
9,-2.4571714131387905,-2.4619563352415734,-2.6485701759156264,35.674003592537886
10,-2.4913614766899452,-2.491710057748789,-2.6488808405717785,35.674003592537886
11,-2.4913614766899435,-2.4917756875396457,-2.6492586938536937,35.674003592537886
12,-2.5170097765410926,-2.4919151755998112,-2.659751317729218,35.674003592537886
13,-2.5299953566702347,-2.4919151755998104,-2.660346179124086,38.58025893817619
14,-2.5485349888515407,-2.51700977654108,-2.689218006888871,38.58025893817619
15,-2.5485349888515425,-2.5299953566702387,-2.7168830145238534,43.680851107685676
16,-2.5485349888515416,-2.5485349888515474,-2.7173088680666178,43.680851107685676
17,-2.555174424175814,-2.5485349888515385,-2.7178010595986803,47.23940020333753
18,-2.579504640426069,-2.548534988851549,-2.73541080197089,47.23940020333753
19,-2.60448359553208,-2.549807607693858,-2.7532537391135525,47.23940020333753
20,-2.6044835955320753,-2.5797060975649706,-2.7688042731063343,47.23940020333753
21,-2.604483595532085,-2.580013300890279,-2.784437307088579,47.23940020333753
22,-2.604483595532088,-2.5840370821828715,-2.792861465760513,47.23940020333753
23,-2.6211931656489504,-2.6188221893648818,-2.7930092954198504,52.46214853758339
24,-2.6211931656489416,-2.618822189364885,-2.793173351850775,57.85078008613789
25,-2.6211931656489442,-2.6188221893648795,-2.8110792105865356,57.85078008613789
26,-2.638402607475299,-2.6188221893648755,-2.829282563546901,63.87237668478084
27,-2.6576730800310777,-2.621193165648939,-2.8293156642640547,63.87237668478084
28,-2.671237787800291,-2.6269388208829594,-2.82938039356119,68.89409817305315
29,-2.6712377878002864,-2.6360926149202193,-2.82945108281429,68.89409817305315
30,-2.671237787800295,-2.646462344586357,-2.8294978420157806,68.89409817305315
31,-2.6712377878002997,-2.6514080938169156,-2.8295418461679214,68.89409817305315
32,-2.671237787800292,-2.6637917682058956,-2.829578075523298,68.89409817305315
33,-2.671237787800294,-2.6649634766212036,-2.8296264553664616,68.89409817305315
34,-2.6720749571526956,-2.6859937443572215,-2.829666983102961,77.76426855845142
35,-2.6883713694724682,-2.685993744357208,-2.8297222618941116,83.88457557992635
36,-2.703668636432675,-2.6859937443572197,-2.8297819334236034,83.88457557992635
37,-2.7036686364326723,-2.6859937443572215,-2.8298936004098714,83.88457557992635
38,-2.7036686364326696,-2.6859937443572175,-2.830018955873887,83.88457557992635
39,-2.703668636432678,-2.685993744357222,-2.830155330868296,83.88457557992635
40,-2.711583651280499,-2.6859937443572144,-2.830330236699649,83.88457557992635
41,-2.722829794216625,-2.685993744357219,-2.830379395849515,83.88457557992635
42,-2.7228297942166177,-2.685993744357217,-2.830432960341083,83.88457557992635
43,-2.7312885779285514,-2.685993744357218,-2.83058559546579,83.88457557992635
44,-2.7406711056454705,-2.6859937443572157,-2.8308231457728583,83.88457557992635
45,-2.75160280133603,-2.6859937443572215,-2.830864797517274,83.88457557992635
46,-2.751602801336024,-2.685993744357222,-2.8310031460547163,83.88457557992635
47,-2.7516028013360376,-2.6889747546025267,-2.831158308706807,83.88457557992635
48,-2.7516028013360367,-2.6891338793544115,-2.831353371694826,83.88457557992635
49,-2.7584730227385608,-2.6902011545506386,-2.8315775864726436,83.88457557992635
50,-2.7680747633420832,-2.690641070589095,-2.831703200007524,83.88457557992635
51,-2.7680747633420824,-2.6931859595953025,-2.831781177107084,83.88457557992635
52,-2.7723023434305216,-2.7052094317779356,-2.831909792640212,83.88457557992635
53,-2.7791726068842197,-2.7167784119089062,-2.831977114981325,83.88457557992635
54,-2.787168205614138,-2.7556196433986404,-2.832036843679739,83.88457557992635
55,-2.787168205614128,-2.7556196433986386,-2.8321132167987226,90.95082875549893
56,-2.7871682056141274,-2.7556196433986377,-2.8321820105286593,102.71203945428505
57,-2.7918994124868757,-2.7556196433986435,-2.8323055685979917,102.71203945428505
58,-2.802462391660274,-2.75561964339864,-2.8324037164291482,102.71203945428505
59,-2.8024623916602707,-2.755619643398646,-2.832521441983721,102.71203945428505
60,-2.8024802791496115,-2.755619643398638,-2.832618668635146,102.71203945428505
61,-2.811015915795638,-2.7556196433986395,-2.8327914937018526,102.71203945428505
62,-2.8110159157956334,-2.7556196433986355,-2.833001406359495,111.38109957420095
63,-2.817485885077847,-2.755619643398645,-2.8331262699029014,111.38109957420095
64,-2.8177801945610144,-2.755619643398643,-2.833297876139399,123.3511618187978
65,-2.8179236563002457,-2.7556196433986386,-2.833440853201098,123.3511618187978
66,-2.8180332995480466,-2.7602452547933938,-2.8336803890210525,136.40062236434252
67,-2.8180332995480457,-2.771367946889287,-2.833950155964519,150.1793618160205
68,-2.818033299548045,-2.7724529675945226,-2.834023657045205,150.1793618160205
69,-2.818178666718947,-2.7744845860613534,-2.8341052228604453,150.1793618160205
70,-2.8182865172346627,-2.7773391893887727,-2.834195714580793,150.1793618160205
71,-2.818286517234657,-2.781036331882306,-2.8343893352556124,150.1793618160205
72,-2.818286517234658,-2.7865181987099223,-2.834656250127501,150.1793618160205
73,-2.8182865172346507,-2.7865181987099286,-2.8348888498100697,162.4140293365915
74,-2.818286517234658,-2.786518198709922,-2.8349965184543753,162.4140293365915
75,-2.8183438754786168,-2.7865181987099272,-2.8351258757685374,182.8564782864351
76,-2.8183915906444943,-2.7895447012438424,-2.8352601034868945,182.8564782864351
77,-2.8183915906444934,-2.7895447012438463,-2.835358589150257,197.75325201998928
78,-2.8183915906444965,-2.7928774883449403,-2.8355347514122133,197.75325201998928
