bond_length,subspace_size,greedy_energy,fci_energy
1.0,1,-3.1355322139663304,-3.236066279892346
1.0,2,-3.1542449175607485,-3.236066279892346
1.0,3,-3.1629109075549486,-3.236066279892346
1.0,4,-3.1716929845098747,-3.236066279892346
1.0,5,-3.1782270332211278,-3.236066279892346
1.0,6,-3.1847969001448972,-3.236066279892346
1.0,7,-3.1910905778385525,-3.236066279892346
1.0,8,-3.194111841941547,-3.236066279892346
1.0,9,-3.1965906790624645,-3.236066279892346
1.0,10,-3.1991852940252254,-3.236066279892346
1.0,11,-3.201996852954862,-3.236066279892346
1.0,12,-3.2043044516261614,-3.236066279892346
1.0,13,-3.2061681929744075,-3.236066279892346
1.0,14,-3.207817142103321,-3.236066279892346
1.0,15,-3.2094924280779344,-3.236066279892346
1.0,16,-3.21076345187019,-3.236066279892346
1.0,17,-3.2121457099318205,-3.236066279892346
1.0,18,-3.2133426059334487,-3.236066279892346
1.0,19,-3.2145724088159113,-3.236066279892346
1.0,20,-3.215804343836246,-3.236066279892346
1.0,21,-3.2170182106920238,-3.236066279892346
1.0,22,-3.2183345520308673,-3.236066279892346
1.0,23,-3.219540387502462,-3.236066279892346
1.0,24,-3.220759168890092,-3.236066279892346
1.0,25,-3.2219096341649673,-3.236066279892346
1.0,26,-3.222769732206114,-3.236066279892346
1.0,27,-3.223449336468176,-3.236066279892346
1.0,28,-3.224154803973363,-3.236066279892346
1.0,29,-3.224862715066275,-3.236066279892346
1.0,30,-3.2255914604370615,-3.236066279892346
1.0,31,-3.22624583885459,-3.236066279892346
1.0,32,-3.2267962464812987,-3.236066279892346
1.0,33,-3.227292889751959,-3.236066279892346
1.0,34,-3.227774266148646,-3.236066279892346
1.0,35,-3.228252372962703,-3.236066279892346
1.0,36,-3.228687378771551,-3.236066279892346
1.0,37,-3.229115606862002,-3.236066279892346
1.0,38,-3.229460487938104,-3.236066279892346
1.0,39,-3.229801100195256,-3.236066279892346
1.0,40,-3.230138919194613,-3.236066279892346
1.0,41,-3.2304855513286013,-3.236066279892346
1.0,42,-3.2308011105621546,-3.236066279892346
1.0,43,-3.231093999180592,-3.236066279892346
1.0,44,-3.2313918991364923,-3.236066279892346
1.0,45,-3.231608726025437,-3.236066279892346
1.0,46,-3.231832422227584,-3.236066279892346
1.0,47,-3.2320523254120763,-3.236066279892346
1.0,48,-3.2322800595062384,-3.236066279892346
1.0,49,-3.2325020812044762,-3.236066279892346
1.0,50,-3.232728842582441,-3.236066279892346
1.0,51,-3.2329070285852937,-3.236066279892346
1.0,52,-3.233086368751001,-3.236066279892346
1.0,53,-3.233238330459232,-3.236066279892346
1.0,54,-3.2333926004300237,-3.236066279892346
1.0,55,-3.233514467169583,-3.236066279892346
1.0,56,-3.233606459299894,-3.236066279892346
1.0,57,-3.2336989594234553,-3.236066279892346
1.0,58,-3.233790256256744,-3.236066279892346
1.0,59,-3.2338836238989295,-3.236066279892346
1.0,60,-3.233976814368038,-3.236066279892346
1.0,61,-3.234066829896746,-3.236066279892346
1.0,62,-3.234140048873591,-3.236066279892346
1.0,63,-3.2342195615034623,-3.236066279892346
1.0,64,-3.234282348361496,-3.236066279892346
1.0,65,-3.234344278880523,-3.236066279892346
