bond_length,subspace_size,fci_subspace_energy,fci_energy
2.0,1,-2.368421284279983,-2.8471921339555992
2.0,2,-2.4124392414061986,-2.8471921339555992
2.0,3,-2.434466278620962,-2.8471921339555992
2.0,4,-2.487184554974675,-2.8471921339555992
2.0,5,-2.533419815702608,-2.8471921339555992
2.0,6,-2.557031233610527,-2.8471921339555992
2.0,7,-2.5980858084936473,-2.8471921339555992
2.0,8,-2.633821647659051,-2.8471921339555992
2.0,9,-2.6485701759156126,-2.8471921339555992
2.0,10,-2.648880840571763,-2.8471921339555992
2.0,11,-2.6492586938536737,-2.8471921339555992
2.0,12,-2.659751317729202,-2.8471921339555992
2.0,13,-2.660346179124078,-2.8471921339555992
2.0,14,-2.6892180068888525,-2.8471921339555992
2.0,15,-2.7168830145238503,-2.8471921339555992
2.0,16,-2.7173088680666053,-2.8471921339555992
2.0,17,-2.717801059598661,-2.8471921339555992
2.0,18,-2.735410801970872,-2.8471921339555992
2.0,19,-2.753253739113538,-2.8471921339555992
2.0,20,-2.768804273106328,-2.8471921339555992
2.0,21,-2.784437307088568,-2.8471921339555992
2.0,22,-2.7928614657605,-2.8471921339555992
2.0,23,-2.7930092954198362,-2.8471921339555992
2.0,24,-2.7931733518507644,-2.8471921339555992
2.0,25,-2.811079210586525,-2.8471921339555992
2.0,26,-2.8292825635468897,-2.8471921339555992
2.0,27,-2.829315664264048,-2.8471921339555992
2.0,28,-2.829380393561184,-2.8471921339555992
2.0,29,-2.829451082814267,-2.8471921339555992
2.0,30,-2.8294978420157704,-2.8471921339555992
2.0,31,-2.8295418461679134,-2.8471921339555992
2.0,32,-2.8295780755232953,-2.8471921339555992
2.0,33,-2.829626455366468,-2.8471921339555992
2.0,34,-2.829666983102947,-2.8471921339555992
2.0,35,-2.8297222618940965,-2.8471921339555992
2.0,36,-2.829781933423589,-2.8471921339555992
2.0,37,-2.8298936004098527,-2.8471921339555992
2.0,38,-2.83001895587387,-2.8471921339555992
2.0,39,-2.8301553308682914,-2.8471921339555992
2.0,40,-2.8303302366996284,-2.8471921339555992
2.0,41,-2.830379395849507,-2.8471921339555992
2.0,42,-2.830432960341068,-2.8471921339555992
2.0,43,-2.83058559546578,-2.8471921339555992
2.0,44,-2.8308231457728303,-2.8471921339555992
2.0,45,-2.83086479751725,-2.8471921339555992
2.0,46,-2.831003146054717,-2.8471921339555992
2.0,47,-2.831158308706797,-2.8471921339555992
