subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-2.368421284279992,0.0,-2.368421284279992,0.0,-2.368421284279992,16.365286827241135
2,-2.368421284279992,7.331929275282478e-30,-2.368421284279992,7.331929275282478e-30,-2.4124392414062097,20.038391256604342
3,-2.3737005720809687,1.9999999999999998,-2.3737005720809687,1.9999999999999998,-2.434466278620972,20.038391256604342
4,-2.4124392414062092,3.8899239681953374e-28,-2.4124392414062097,9.369976587534444e-29,-2.487184554974683,24.53590566819091
5,-2.412439241406209,5.172540155490775e-27,-2.4124392414062092,7.427420089937314e-28,-2.5334198157026138,29.30116217995027
6,-2.4429895830719692,2.0,-2.4429895830719714,2.0,-2.5570312336105334,29.30116217995027
7,-2.4429895830719697,2.0000000000000004,-2.4547686352924645,0.215313909172814,-2.5980858084936505,35.67400359134101
8,-2.4429895830719697,2.0000000000000004,-2.4557719041695765,0.17156552863996938,-2.633821647659066,35.67400359134101
9,-2.4571714131387767,0.5782776281620413,-2.4617150913622163,0.09754538982808103,-2.648570175915613,35.67400359134101
10,-2.491361476689937,1.163319768313239,-2.4917116102003916,0.34031255213145406,-2.6488808405717794,35.67400359134101
11,-2.491361476689932,1.1633197683132361,-2.4917356373101494,0.37045474455418886,-2.6492586938536897,35.67400359134101
12,-2.5170097765410797,2.0000000000000004,-2.4919151755997926,-1.0343077448198585e-17,-2.659751317729219,35.67400359134101
13,-2.5299953566702302,1.974137303106939,-2.4919151755997997,5.7534792430068474e-18,-2.660346179124077,38.58025893607484
14,-2.548534988851527,2.0000000000000004,-2.5170097765410797,2.0000000000000004,-2.689218006888854,38.58025893607484
15,-2.548534988851535,2.0000000000000004,-2.5299953566702276,1.9741373031069387,-2.7168830145238507,43.68085110833275
16,-2.548534988851533,2.0,-2.5485349888515354,2.0,-2.7173088680666173,43.68085110833275
17,-2.5551744241757968,1.5224625583229952,-2.5485349888515327,2.0000000000000004,-2.717801059598674,47.2394002023271
18,-2.579504640426066,1.8067196804828631,-2.548534988851532,1.9999999999999998,-2.7354108019708767,47.2394002023271
19,-2.6044835955320718,1.7326254178311218,-2.5497010921172896,0.056985381234385166,-2.7532537391135423,47.2394002023271
20,-2.6044835955320864,1.7326254178311187,-2.5607235271245425,0.5368371539980272,-2.7688042731063334,47.2394002023271
21,-2.6044835955320784,1.7326254178311182,-2.582965289039932,0.40367517037419526,-2.7844373070885777,47.2394002023271
22,-2.6044835955320753,1.7326254178311236,-2.5840370821828564,7.548405988233849e-18,-2.7928614657605033,47.2394002023271
23,-2.6211931656489367,2.0000000000000004,-2.6188221893648738,3.4070995988099163e-19,-2.7930092954198398,52.46214853783917
24,-2.621193165648931,2.0,-2.6188221893648738,9.400611738060554e-19,-2.793173351850763,57.850780088424806
25,-2.6211931656489402,2.0,-2.6188221893648795,7.190000829149523e-18,-2.8110792105865254,57.850780088424806
26,-2.638402607475304,1.9635082573693379,-2.6188221893648707,5.326704768355957e-19,-2.8292825635468897,63.87237668807953
27,-2.657673080031067,2.104985040760863,-2.6211931656489385,2.0,-2.8293156642640587,63.87237668807953
28,-2.671237787800289,2.0692574591471438,-2.6217532169389957,0.06378109039961591,-2.829380393561184,68.89409817508394
29,-2.6712377878002873,2.069257459147147,-2.6329104474043215,0.4329642310072032,-2.82945108281428,68.89409817508394
30,-2.6712377878002815,2.0692574591471464,-2.6446248725206787,0.03449864187985707,-2.829497842015771,68.89409817508394
31,-2.6712377878002873,2.069257459147147,-2.6630433434296608,0.3869538704395066,-2.829541846167926,68.89409817508394
32,-2.67123778780029,2.069257459147148,-2.663177053698589,0.30246400793307837,-2.829578075523295,68.89409817508394
33,-2.6712377878002878,2.069257459147143,-2.6649634766211987,5.0179552896101694e-18,-2.8296264553664763,68.89409817508394
34,-2.672074957152688,2.2417310201390475,-2.685993744357212,8.287835262262703e-18,-2.8296669831029457,77.76426856611621
35,-2.6883713694724496,2.3993895381309347,-2.6859937443572126,9.141974862413612e-19,-2.8297222618941023,83.88457558632413
36,-2.703668636432669,2.5449026467474205,-2.6859937443572077,-6.6137946808751635e-18,-2.829781933423603,83.88457558632413
37,-2.7036686364326634,2.54490264674742,-2.6859937443572046,-6.638742834293275e-18,-2.8298936004098523,83.88457558632413
38,-2.7036686364326625,2.544902646747418,-2.685993744357214,-2.9362090469423284e-18,-2.8300189558738786,83.88457558632413
39,-2.703668636432662,2.5449026467474214,-2.6859937443572086,-8.511643852065106e-18,-2.8301553308682865,83.88457558632413
40,-2.7115836512804914,2.193464013854599,-2.6859937443572166,6.2236248215748795e-18,-2.830330236699639,83.88457558632413
41,-2.7228297942166106,2.2750525139948508,-2.6859937443572277,-9.63898276340823e-18,-2.830379395849505,83.88457558632413
42,-2.722829794216607,2.2750525139948543,-2.6859937443572157,-1.0813356257376056e-17,-2.830432960341069,83.88457558632413
43,-2.7312885779285336,2.576686363954899,-2.685993744357207,4.3490215172599515e-18,-2.830585595465784,83.88457558632413
44,-2.740671105645458,2.5848360764471754,-2.6859937443572024,-5.019123914051702e-18,-2.830823145772834,83.88457558632413
