subspace_size,spin_symm_energy_no_enforce,spin_symm_energy_enforced
1,-2.368421284279992,-2.368421284279992
2,-2.368421284279992,-2.368421284279992
3,-2.3737005720809687,-2.3737005720809687
4,-2.4124392414062097,-2.4124392414062092
5,-2.4124392414062092,-2.412439241406207
6,-2.4429895830719714,-2.4429895830719675
7,-2.4547686352924645,-2.4547686352924654
8,-2.4557719041695765,-2.455771904169578
9,-2.4617150913622163,-2.4617150913622172
10,-2.4917116102003916,-2.4917116102003893
11,-2.4917356373101494,-2.4917356373101485
12,-2.4919151755997926,-2.4919151755997997
13,-2.4919151755997997,-2.4919151755997957
14,-2.5170097765410797,-2.5170097765410797
15,-2.5299953566702276,-2.5299953566702347
16,-2.5485349888515354,-2.54853498885154
17,-2.5485349888515327,-2.5485349888515336
18,-2.548534988851532,-2.548534988851532
19,-2.5497010921172896,-2.5497010921172953
20,-2.5607235271245425,-2.5607235271245368
21,-2.582965289039932,-2.5829652890399215
22,-2.5840370821828564,-2.5840370821828618
23,-2.6188221893648738,-2.6188221893648795
24,-2.6188221893648738,-2.6188221893648755
25,-2.6188221893648795,-2.6188221893648738
26,-2.6188221893648707,-2.618822189364873
27,-2.6211931656489385,-2.6211931656489367
28,-2.6217532169389957,-2.6217532169389957
29,-2.6329104474043215,-2.632910447404321
30,-2.6446248725206787,-2.6446248725206654
31,-2.6630433434296608,-2.6630433434296608
32,-2.663177053698589,-2.663177053698588
33,-2.6649634766211987,-2.6649634766211836
34,-2.685993744357212,-2.685993744357201
35,-2.6859937443572126,-2.685993744357217
36,-2.6859937443572077,-2.6859937443572104
37,-2.6859937443572046,-2.6859937443572193
38,-2.685993744357214,-2.685993744357213
39,-2.6859937443572086,-2.6859937443572113
40,-2.6859937443572166,-2.6859937443572046
41,-2.6859937443572277,-2.6859937443572055
42,-2.6859937443572157,-2.6859937443572153
43,-2.685993744357207,-2.685993744357208
44,-2.6859937443572024,-2.685993744357209
45,-2.685993744357205,-2.6859937443572175
46,-2.685993744357213,-2.6859937443572157
47,-2.68599374435721,-2.685993744357212
48,-2.685993744357213,-2.6859937443572135
49,-2.6867477058925218,-2.686747705892529
50,-2.694187057028106,-2.6941870570281052
51,-2.705261756972725,-2.7052617569727127
52,-2.7074329553869023,-2.7074329553868997
53,-2.718621364721795,-2.71862136472179
54,-2.75561964339864,-2.7556196433986293
55,-2.7556196433986346,-2.755619643398634
56,-2.755619643398637,-2.755619643398634
57,-2.7556196433986293,-2.755619643398643
58,-2.7556196433986324,-2.755619643398636
59,-2.75561964339864,-2.7556196433986435
60,-2.755619643398641,-2.7556196433986493
61,-2.7556196433986373,-2.755619643398643
62,-2.7556196433986364,-2.755619643398637
63,-2.7556196433986386,-2.7556196433986457
64,-2.755619643398636,-2.7556196433986493
65,-2.7556196433986377,-2.755619643398639
66,-2.760245254793394,-2.7602452547933933
67,-2.7634513871450506,-2.763451387145052
68,-2.7671642267930627,-2.7671642267930583
69,-2.7712402461062,-2.771240246106207
70,-2.7768204235600953,-2.776820423560085
71,-2.781036331882301,-2.7810363318823126
72,-2.786518198709918,-2.786518198709917
73,-2.786518198709916,-2.786518198709908
74,-2.78651819870991,-2.7865181987099144
75,-2.7865181987099215,-2.786518198709917
76,-2.7895447012438384,-2.7895447012438375
77,-2.789544701243834,-2.7895447012438384
78,-2.797402499048845,-2.7974024990488595
79,-2.798660060727954,-2.7986600607279537
80,-2.808247960437263,-2.808247960437266
81,-2.808521204795902,-2.8085212047958965
82,-2.8093603173141153,-2.8093603173141166
83,-2.8093603173141153,-2.809360317314114
84,-2.809360317314117,-2.809360317314121
85,-2.8239145479883323,-2.8239145479883203
86,-2.823914547988326,-2.8239145479883225
87,-2.823914547988329,-2.8239145479883314
88,-2.8359217263088663,-2.8359217263088645
89,-2.836153533220813,-2.83615353322083
90,-2.836331175467776,-2.8363311754677762
91,-2.8363311754677807,-2.836331175467787
92,-2.836331175467783,-2.836331175467773
93,-2.8365633194034126,-2.836563319403411
94,-2.836735972552483,-2.8367359725524848
95,-2.8367359725524834,-2.8367359725524923
96,-2.8367359725524808,-2.8367359725524803
