subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-2.3684212842799894,0.0,-2.3684212842799894,0.0,-2.3684212842799894,16.365286835713466
2,-2.3684212842799894,1.1365485627211256e-29,-2.3684212842799894,1.1365485627211051e-29,-2.4124392414062314,20.03839126391092
3,-2.373700572081005,2.0,-2.373700572081005,2.0,-2.434466278620985,20.03839126391092
4,-2.412439241406231,1.633188592840376e-28,-2.412439241406231,1.728040642601448e-29,-2.487184554974703,24.535905673425862
5,-2.412439241406232,1.5783897710949854e-27,-2.412439241406235,2.4989618955764824e-27,-2.5334198157026364,29.30116218728954
6,-2.44298958307199,2.0000000000000004,-2.4429895830719848,2.0,-2.5570312336105574,29.30116218728954
7,-2.4429895830719834,2.0,-2.454768635292497,0.21531390917282317,-2.598085808493674,35.674003594993124
8,-2.4429895830719883,2.0,-2.4557719041696067,0.17156552863996827,-2.6338216476590777,35.674003594993124
9,-2.457171413138806,0.5782776281620291,-2.456827571540004,0.1273225241199867,-2.648570175915628,35.674003594993124
10,-2.4913614766899532,1.1633197683131806,-2.4917327024132856,0.38266708212724765,-2.648880840571786,35.674003594993124
11,-2.4913614766899603,1.1633197683131828,-2.491735637310185,0.3704547445540828,-2.6492586938536977,35.674003594993124
12,-2.517009776541092,2.0000000000000004,-2.491915175599823,-5.5584043163750395e-18,-2.6597513177292287,35.674003594993124
13,-2.5299953566702413,1.9741373031069305,-2.491915175599828,-1.2792212079656134e-18,-2.6603461791240934,38.58025894278905
14,-2.548534988851552,2.0000000000000004,-2.5170097765410917,2.000000000000001,-2.6892180068888654,38.58025894278905
15,-2.5485349888515567,2.0,-2.5299953566702422,1.9741373031069307,-2.7168830145238623,43.68085110596134
16,-2.548534988851548,1.9999999999999998,-2.5485349888515554,1.9999999999999998,-2.7173088680666178,43.68085110596134
17,-2.555174424175822,1.5224625583230098,-2.5485349888515554,2.0000000000000004,-2.717801059598683,47.23940020565598
18,-2.5795046404260753,1.8067196804828836,-2.5485349888515487,1.9999999999999996,-2.7354108019708923,47.23940020565598
19,-2.60448359553209,1.7326254178311578,-2.5485349888515443,2.000000000000001,-2.753253739113564,47.23940020565598
20,-2.6044835955320855,1.732625417831171,-2.5562534355482547,0.4494702223254001,-2.768804273106354,47.23940020565598
21,-2.6044835955320953,1.7326254178311706,-2.580013300890298,1.7216739856696455,-2.784437307088583,47.23940020565598
22,-2.6044835955320975,1.732625417831171,-2.5840370821828795,-7.558444985158324e-18,-2.792861465760526,47.23940020565598
23,-2.621193165648955,2.0000000000000004,-2.618822189364882,5.619554751916372e-18,-2.793009295419859,52.462148537195226
24,-2.6211931656489527,2.0,-2.61882218936488,1.4251858233828405e-17,-2.79317335185078,57.85078008087926
25,-2.621193165648953,2.0,-2.6188221893648853,-7.74519591832528e-18,-2.8110792105865405,57.85078008087926
26,-2.63840260747531,1.963508257369338,-2.618822189364886,-5.996587251186562e-18,-2.8292825635469026,63.87237667755011
