subspace_size,fci_subspace_energy,fci_energy
1,-2.368421284279991,-2.847192133955601
2,-2.412439241406234,-2.847192133955601
3,-2.4344662786209867,-2.847192133955601
4,-2.487184554974706,-2.847192133955601
5,-2.5334198157026315,-2.847192133955601
6,-2.5570312336105574,-2.847192133955601
7,-2.5980858084936767,-2.847192133955601
8,-2.6338216476590732,-2.847192133955601
9,-2.648570175915633,-2.847192133955601
10,-2.6488808405717847,-2.847192133955601
11,-2.6492586938536986,-2.847192133955601
12,-2.659751317729223,-2.847192133955601
13,-2.6603461791240917,-2.847192133955601
14,-2.689218006888873,-2.847192133955601
15,-2.716883014523852,-2.847192133955601
16,-2.7173088680666138,-2.847192133955601
17,-2.7178010595986866,-2.847192133955601
18,-2.7354108019708923,-2.847192133955601
19,-2.7532537391135414,-2.847192133955601
20,-2.7688042731063462,-2.847192133955601
21,-2.784437307088585,-2.847192133955601
22,-2.7928614657605197,-2.847192133955601
23,-2.793009295419855,-2.847192133955601
24,-2.793173351850771,-2.847192133955601
25,-2.811079210586542,-2.847192133955601
26,-2.829282563546896,-2.847192133955601
27,-2.8293156642640565,-2.847192133955601
28,-2.8293803935611934,-2.847192133955601
29,-2.829451082814292,-2.847192133955601
30,-2.829497842015783,-2.847192133955601
31,-2.8295418461679303,-2.847192133955601
32,-2.8295780755233,-2.847192133955601
33,-2.829626455366475,-2.847192133955601
34,-2.8296669831029515,-2.847192133955601
35,-2.8297222618941116,-2.847192133955601
36,-2.829781933423602,-2.847192133955601
37,-2.8298936004098643,-2.847192133955601
38,-2.830018955873892,-2.847192133955601
39,-2.830155330868296,-2.847192133955601
40,-2.8303302366996452,-2.847192133955601
41,-2.830379395849516,-2.847192133955601
42,-2.830432960341085,-2.847192133955601
43,-2.830585595465791,-2.847192133955601
44,-2.830823145772845,-2.847192133955601
45,-2.830864797517269,-2.847192133955601
46,-2.831003146054727,-2.847192133955601
47,-2.8311583087068217,-2.847192133955601
48,-2.8313533716948256,-2.847192133955601
49,-2.831577586472659,-2.847192133955601
50,-2.831703200007536,-2.847192133955601
51,-2.831781177107096,-2.847192133955601
52,-2.8319097926401966,-2.847192133955601
53,-2.831977114981347,-2.847192133955601
54,-2.8320368436797403,-2.847192133955601
55,-2.8321132167987457,-2.847192133955601
56,-2.8321820105286664,-2.847192133955601
57,-2.8323055685979988,-2.847192133955601
58,-2.832403716429154,-2.847192133955601
59,-2.8325214419837197,-2.847192133955601
60,-2.8326186686351367,-2.847192133955601
61,-2.8327914937018455,-2.847192133955601
62,-2.8330014063594984,-2.847192133955601
63,-2.833126269902911,-2.847192133955601
64,-2.8332978761393988,-2.847192133955601
