bond_length,subspace_size,qsci_energy,spin_symm_energy,fci_subspace_energy,fci_energy,rhf_energy,uhf_energy
2.0,1,-2.3684212842799903,-2.3684212842799903,-2.3684212842799903,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,2,-2.4124392414062146,-2.4124392414062146,-2.4124392414062146,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,3,-2.434466278620974,-2.434466278620974,-2.4344662786209743,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,4,-2.4446257462913055,-2.444625746291309,-2.4871845549746876,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,5,-2.4459388167225127,-2.4526674245701825,-2.5334198157026204,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,6,-2.4472907682887897,-2.4554458601592737,-2.55703123361054,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,7,-2.45523730329518,-2.4681746925303054,-2.5980858084936553,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,8,-2.4635483574135963,-2.474394557001074,-2.633821647659069,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,9,-2.4675370179737146,-2.4857960869522984,-2.6485701759156246,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,10,-2.4745715451406034,-2.48726952774647,-2.6488808405717807,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,11,-2.4760183814304004,-2.495835133796811,-2.6492586938536866,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,12,-2.4775033779496423,-2.5193143288941147,-2.6597513177292083,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,13,-2.4791171869250093,-2.545611737425554,-2.660346179124082,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,14,-2.47952405327538,-2.578443918441311,-2.6892180068888694,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,15,-2.4798235276774685,-2.5805209180137285,-2.716883014523837,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,16,-2.4803564200276926,-2.5836709933010735,-2.7173088680666098,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,17,-2.480757690635095,-2.5980642928536715,-2.717801059598679,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,18,-2.480974439284305,-2.603559275076216,-2.7354108019708896,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,19,-2.4813832960811344,-2.6047912805650553,-2.753253739113541,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,20,-2.51434747333609,-2.6087096999838297,-2.768804273106347,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,21,-2.5526335504186104,-2.6157758752346862,-2.784437307088572,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,22,-2.558053005730621,-2.6242036699421534,-2.792861465760512,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,23,-2.568300833259296,-2.6248605744253086,-2.7930092954198487,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,24,-2.589124112195207,-2.626675051164709,-2.7931733518507618,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,25,-2.609036118954635,-2.6317519067531747,-2.8110792105865356,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,26,-2.6099685340191257,-2.6318018911748933,-2.829282563546898,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,27,-2.642448073466689,-2.6318391896912403,-2.8293156642640453,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,28,-2.6752010033090676,-2.6319005294187243,-2.8293803935611894,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,29,-2.6798895416199238,-2.631947218969458,-2.8294510828142783,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,30,-2.6846537243374953,-2.6326407538054095,-2.829497842015776,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,31,-2.6889029723948634,-2.6336917862840346,-2.8295418461679187,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,32,-2.6931984453675644,-2.69982146647274,-2.8295780755232913,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,33,-2.693531059881282,-2.705366821678713,-2.8296264553664656,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,34,-2.693780406283224,-2.7576521715897657,-2.8296669831029413,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,35,-2.693887459853501,-2.7585193911315162,-2.8297222618941085,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,36,-2.6940009478675044,-2.7603696507685203,-2.8297819334235994,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,37,-2.6943601826994237,-2.764708823709793,-2.8298936004098643,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,38,-2.6946423306515253,-2.767432026286281,-2.8300189558738693,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,39,-2.6947926085386356,-2.7816119029117394,-2.830155330868292,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,40,-2.6949542029432836,-2.783627565412593,-2.830330236699632,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,41,-2.694988652770398,-2.7980948525044798,-2.830379395849509,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,42,-2.6950122953663724,-2.798854944304031,-2.830432960341065,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,43,-2.703755408406132,-2.800265680599758,-2.8305855954657777,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,44,-2.712936158180513,-2.802142763247132,-2.8308231457728277,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,45,-2.712938337736549,-2.8161850655295257,-2.8308647975172505,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,46,-2.7138115809617074,-2.817893661456621,-2.8310031460547247,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,47,-2.715071015033123,-2.820082956314391,-2.831158308706808,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,48,-2.715099103014112,-2.8236642341504257,-2.8313533716948114,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,49,-2.715403821719322,-2.834286117478034,-2.8315775864726422,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,50,-2.7156504100036196,-2.836146895610948,-2.831703200007525,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,51,-2.724651269280643,-2.836178572862569,-2.8317811771070835,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,52,-2.734018455410565,-2.8362030467523733,-2.8319097926401953,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,53,-2.7342157335314026,-2.8362063823714396,-2.8319771149813224,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,54,-2.7344613782632763,-2.8362611819910706,-2.8320368436797354,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,55,-2.7563579819596455,-2.836315594514507,-2.8321132167987373,-2.847192133955601,-2.368421284279994,-2.8194898991254087
