subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.3533410919322053,0.0,-1.3533410919322053,0.0,-1.5756164767018657,10.470568994920233
2,-1.3533410919322053,9.758762086375294e-29,-1.3533410919322053,9.758762086375294e-29,-1.6476408473837727,14.086826446761863
3,-1.4499340432716936,1.9999999999999998,-1.4499340432716936,1.9999999999999998,-1.6527669810818306,14.086826446761863
4,-1.4973333002670588,1.7315416198944091,-1.4973333002670584,1.7315416198944107,-1.7431945469626202,14.962172572929662
5,-1.5737705940444067,2.0000000000000004,-1.5737705940444062,2.0000000000000004,-1.817741361712272,14.962172572929662
6,-1.5737705940444051,2.0,-1.5737705940444053,2.0,-1.8888389566571684,16.984264314372975
7,-1.5737705940444073,2.000000000000001,-1.5737705940444047,2.000000000000001,-1.8891500937418828,16.984264314372975
8,-1.5737705940444082,2.0000000000000004,-1.5737705940444071,2.0,-1.8895929517588528,16.984264314372975
9,-1.5924943324664849,1.9621241806777936,-1.6530632656263013,4.271636505411624,-1.8905998811690585,16.984264314372975
10,-1.6860650336238063,2.7071183894584205,-1.7253202002882646,5.21292809963617,-1.8931403427600675,16.984264314372975
11,-1.7413665688227302,2.3765762620115933,-1.840081645233367,6.0,-1.8935950444783516,16.984264314372975
12,-1.7413665688227271,2.3765762620115956,-1.8400816452333673,6.0,-1.8957057519727167,18.952043526714125
13,-1.7413665688227231,2.3765762620115973,-1.8400816452333635,6.0,-1.896145096960121,21.380558039466397
14,-1.741366568822723,2.376576262011595,-1.8400816452333622,5.999999999999999,-1.8964896888926788,22.850179759913654
15,-1.7922328193886636,1.9999999999999998,-1.840081645233367,6.0,-1.8971008726446683,22.850179759913654
16,-1.7942513920228442,2.0840345553678246,-1.8400816452333673,6.0,-1.897555921090379,24.270074894610456
17,-1.8084448456771023,1.9533472394598639,-1.8400816452333655,6.0,-1.8976143299228894,24.270074894610456
18,-1.8401933903508967,2.0,-1.8400816452333606,6.0,-1.897654583012704,27.55010109196892
19,-1.8401933903508987,2.0000000000000004,-1.8400816452333681,6.0,-1.8977536486075173,70.38656579667348
20,-1.8401933903509065,2.0,-1.8401933903509053,2.0000000000000004,-1.897780645989869,70.38656579667348
21,-1.8401933903509002,2.0,-1.8401933903508982,2.0000000000000004,-1.897780645989874,94.69622300778173
22,-1.8401933903508991,2.0,-1.840193390350898,2.0000000000000004,-1.89778064598987,94.69622300778173
23,-1.8410222245880434,1.9979876260224403,-1.8401933903509002,2.0,-1.897780645989872,100.5805839946833
24,-1.843122591059228,2.0000000000000004,-1.8401933903509002,2.0000000000000004,-1.8977806459898712,100.5805839946833
25,-1.8445508704188682,1.9966614543967292,-1.8410222245880428,1.997987626022441,-1.8977806459898725,114.17374148928225
26,-1.8492871542558964,2.0000000000000004,-1.84312259105923,1.9999999999999998,-1.8977806459898703,114.17374148928225
27,-1.8519308371026624,1.0567568639034857,-1.844550870418874,1.9966614543967292,-1.8977806459898707,380.87776975790183
28,-1.8528971882657919,1.1561790334530062,-1.849287154255899,2.0000000000000004,-1.8977806459898734,380.87776975790183
29,-1.8534564147112247,1.2022667437977765,-1.8546369784762171,-1.3797155000059625e-17,-1.8977806459898756,473.16135799812145
30,-1.8566499398087888,1.435953310098654,-1.8561463932429976,0.007987601794436677,-1.897780645989867,512.4228723971291
31,-1.8649282159705425,1.9999999999999996,-1.857034744213253,1.0245372777739129e-18,-1.8977806459898672,512.4228723971291
32,-1.8649282159705456,2.0,-1.8615885667962198,0.12266924673417749,-1.8977806459898712,544.2644925099152
33,-1.881875688073685,2.000000000000001,-1.8649403599042471,2.0,-1.8977806459898727,544.2644925099152
34,-1.8818756880736893,2.0,-1.8649403599042482,2.0000000000000004,-1.8977806459898703,617.8201696751702
35,-1.881875688073677,1.9999999999999998,-1.8818756880736824,2.0000000000000004,-1.8977806459898707,617.8201696751702
36,-1.8977806459898725,5.9916000944523205e-18,-1.8977806459898723,1.851834281287846e-18,-1.897780645989873,13854.82255702958
