subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.5756164767018648,0.0,-1.5756164767018648,0.0,-1.5756164767018648,6.588649404394
2,-1.5756164767018648,7.737307993501896e-32,-1.5756164767018648,7.737307993501896e-32,-1.6476408473837958,8.790589213719562
3,-1.6119451785021175,1.9999999999999998,-1.6119451785021175,1.9999999999999998,-1.6527669810818553,8.790589213719562
4,-1.6476408473837947,1.1343087963699286e-27,-1.6476408473837953,8.577494934017992e-29,-1.7431945469626347,11.728421711561726
5,-1.6572441171647503,1.8718437014822846,-1.6572441171647494,1.871843701482282,-1.81774136171228,14.176399137938573
6,-1.722291824095537,2.0,-1.7222918240955376,2.0000000000000004,-1.8888389566571733,14.176399137938573
7,-1.7222918240955392,2.0000000000000004,-1.7222918240955416,2.0,-1.8891500937418846,18.829902563737367
8,-1.722291824095534,2.0000000000000004,-1.72229182409554,2.0000000000000004,-1.889592951758861,18.829902563737367
9,-1.7398948563092,0.8923554131369926,-1.7536235505015725,0.8840337040108734,-1.8905998811690599,18.829902563737367
10,-1.798200455573596,1.5114084965765135,-1.7575564483387576,0.44439087455986487,-1.8931403427600715,18.829902563737367
11,-1.7982004555735949,1.5114084965765138,-1.8008589758606506,2.142831955630257,-1.8935950444783514,18.829902563737367
12,-1.798200455573597,1.511408496576513,-1.8400816452333637,6.000000000000001,-1.895705751972719,18.829902563737367
13,-1.8447658092129375,1.5504463553453371,-1.8400816452333622,6.000000000000001,-1.89614509696012,25.1228936634252
14,-1.844765809212937,1.5504463553453363,-1.8400816452333641,6.000000000000001,-1.8964896888926772,25.1228936634252
15,-1.8762261960717876,2.0000000000000004,-1.8464104816198657,6.130952999667839e-27,-1.8971008726446676,30.502502134066773
16,-1.879003884589598,1.5792890820246255,-1.846410481619868,1.522281327618644e-18,-1.8975559210903754,40.51516450306345
17,-1.8793374174380286,1.5699086887133427,-1.8762261960717836,2.000000000000001,-1.8976143299228851,40.51516450306345
18,-1.8795407300653273,1.563423394241617,-1.8937240507176525,-9.795097293292979e-18,-1.8976545830127018,53.81455421248888
19,-1.8800028631942085,1.5488704872083692,-1.894074885923954,0.0007178078125068623,-1.8977536486075186,4405.922393214589
20,-1.8802332416861982,1.5404991182267176,-1.894286139340929,-2.9609331691428825e-19,-1.8977806459898732,4405.922393214589
21,-1.880233241686207,1.5404991182267154,-1.8947550448660744,0.0013771788419929744,-1.89778064598987,5660.437108698844
22,-1.8802332416862106,1.5404991182267163,-1.8949803267584702,4.67334876892948e-18,-1.8977806459898747,5660.437108698844
23,-1.8802332416862098,1.5404991182267138,-1.8949803267584722,3.511275645203417e-18,-1.8977806459898683,5878.390469592778
24,-1.8802332416862113,1.5404991182267156,-1.8949803267584724,-8.257152602143542e-18,-1.8977806459898712,5878.390469592778
25,-1.88023324168621,1.540499118226716,-1.8949803267584764,-3.505448553805056e-18,-1.8977806459898672,7552.166512226624
26,-1.8802332416862062,1.5404991182267154,-1.8949803267584708,-5.919156195618207e-18,-1.8977806459898718,7552.166512226624
27,-1.8802332416862093,1.5404991182267176,-1.8949803267584773,3.502636792576042e-18,-1.8977806459898732,9479.957208731843
28,-1.8818756880736838,2.000000000000001,-1.894980326758474,-1.3070473703623012e-17,-1.897780645989872,9479.957208731843
29,-1.8818756880736816,2.0,-1.8949803267584744,-5.574757891452691e-18,-1.897780645989871,12179.220781515343
30,-1.8818756880736884,2.000000000000001,-1.8949803267584742,1.391565219821853e-17,-1.8977806459898676,12179.220781515343
31,-1.881875688073689,2.0000000000000004,-1.8951135469179223,0.0004182520100256954,-1.8977806459898736,12591.820307253056
32,-1.8818756880736847,2.0000000000000004,-1.8951880539848698,-1.4371618381437533e-17,-1.8977806459898678,12591.820307253056
33,-1.8818756880736822,2.0000000000000004,-1.8953129478537722,0.0011772189945525072,-1.8977806459898714,16177.136266179317
34,-1.885144350767084,0.8568408828771201,-1.895340605870674,-3.0730777357411288e-18,-1.8977806459898674,16177.136266179317
35,-1.8956018227731404,-7.49843103782167e-18,-1.8956018227731444,6.779913825672172e-18,-1.897780645989873,2946302.184797375
36,-1.8977806459898745,1.349770591117097e-26,-1.8977806459898698,-8.66348054616074e-18,-1.8977806459898692,4862991.835651059
