subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.3533410919322053,0.0,-1.3533410919322053,0.0,-1.575616476701867,10.470568994920086
2,-1.3533410919322053,1.2131149966460073e-30,-1.3533410919322053,1.2131149966460073e-30,-1.647640847383805,14.086826446764276
3,-1.449934043271673,2.0,-1.449934043271673,2.0,-1.6527669810818635,14.086826446764276
4,-1.4973333002670295,1.7315416198944182,-1.4973333002670315,1.7315416198944165,-1.7431945469626422,14.962172572932367
5,-1.5737705940443656,2.0000000000000004,-1.5737705940443636,1.9999999999999996,-1.817741361712279,14.962172572932367
6,-1.5737705940443605,2.0,-1.5737705940443667,2.0000000000000004,-1.8888389566571755,16.98426431437316
7,-1.5737705940443685,2.000000000000001,-1.5737705940443656,2.0,-1.8891500937418908,16.98426431437316
8,-1.5737705940443654,2.0000000000000004,-1.5737705940443651,2.0,-1.8895929517588599,16.98426431437316
9,-1.5924943324664382,1.9621241806781584,-1.653063265626307,4.27163650541169,-1.8905998811690634,16.98426431437316
10,-1.6860650336237601,2.707118389458685,-1.7253202002882686,5.212928099636154,-1.8931403427600677,16.98426431437316
11,-1.7413665688226492,2.3765762620119433,-1.8400816452333675,6.0,-1.8935950444783543,16.98426431437316
12,-1.741366568822649,2.3765762620119437,-1.8400816452333693,6.0,-1.8957057519727236,18.952043526720686
13,-1.7413665688226452,2.3765762620119446,-1.8400816452333622,5.999999999999998,-1.896145096960116,21.380558039474344
14,-1.7413665688226512,2.376576262011946,-1.8400816452333681,6.000000000000001,-1.8964896888926726,22.85017975991787
15,-1.792232819388568,2.0,-1.8400816452333637,6.0,-1.8971008726446688,22.85017975991787
16,-1.7942513920227525,2.0840345553681354,-1.8400816452333704,6.000000000000002,-1.8975559210903774,24.270074894615348
17,-1.8084448456770272,1.9533472394597955,-1.8400816452333677,6.0,-1.897614329922895,24.270074894615348
18,-1.8401933903508672,2.0,-1.840081645233364,6.000000000000001,-1.8976545830127038,27.550101091969474
19,-1.8401933903508705,2.0,-1.840081645233371,6.000000000000002,-1.8977536486075153,70.38656579658667
20,-1.84019339035087,2.0000000000000004,-1.8401933903508678,2.000000000000001,-1.8977806459898714,70.38656579658667
21,-1.8401933903508711,2.0,-1.8401933903508632,1.9999999999999998,-1.897780645989875,94.69622300768172
22,-1.8401933903508645,2.0,-1.840193390350865,2.0,-1.897780645989877,94.69622300768172
23,-1.8410222245880188,1.9979876260224396,-1.8401933903508654,2.0000000000000004,-1.897780645989869,100.58058399457843
24,-1.8431225910591986,2.0000000000000004,-1.8401933903508643,2.0,-1.8977806459898723,100.58058399457843
25,-1.8445508704188476,1.996661454396715,-1.8410222245880141,1.9979876260224398,-1.8977806459898747,114.17374148914338
26,-1.8492871542558882,1.9999999999999996,-1.8431225910591937,2.0,-1.8977806459898758,114.17374148914338
27,-1.851930837102654,1.0567568639024436,-1.8445508704188434,1.9966614543967152,-1.8977806459898743,380.8777697568428
28,-1.8528971882657845,1.15617903345212,-1.8492871542558866,2.0000000000000004,-1.8977806459898714,380.8777697568428
29,-1.853456414711219,1.2022667437969887,-1.854636978476202,6.875809399978199e-18,-1.8977806459898667,473.1613579969587
30,-1.8566499398087881,1.4359533100985142,-1.8561463932429838,0.007987601794445404,-1.8977806459898778,512.4228723957937
31,-1.8649282159705405,2.0,-1.8570347442132338,-1.2233634462593231e-17,-1.8977806459898703,512.4228723957937
32,-1.8649282159705347,2.0000000000000004,-1.8615885667962222,0.1226692467346352,-1.8977806459898763,544.2644925085061
33,-1.8818756880736889,2.0000000000000004,-1.8649403599042484,2.0,-1.8977806459898725,544.2644925085061
34,-1.8818756880736964,2.0,-1.864940359904247,2.000000000000001,-1.8977806459898707,617.8201696734584
35,-1.8818756880736827,2.000000000000001,-1.8818756880736824,2.0000000000000004,-1.8977806459898727,617.8201696734584
36,-1.8977806459898732,1.2780354713868014e-17,-1.8977806459898807,-6.794261828402219e-18,-1.8977806459898745,13854.822556952602
