bond_length_angstrom,rhf_energy_hartree,uhf_afm_energy_hartree,uhf_fm_energy_hartree,fci_energy_hartree
5.000000000000000000e-01,-2.186793419920645576e+00,-2.186793419920608272e+00,-2.186793419919894177e+00,-2.225106185924541791e+00
5.999999999999999778e-01,-2.748996958527054169e+00,-2.748996958526983114e+00,-2.748996958526869427e+00,-2.796419230339954431e+00
6.999999999999999556e-01,-3.020144532388091108e+00,-3.020144532388034264e+00,-3.020144532387975644e+00,-3.077995451976502039e+00
8.000000000000000444e-01,-3.134612255699307681e+00,-3.134612255699289918e+00,-3.134612255697858174e+00,-3.204411879484107217e+00
9.000000000000000222e-01,-3.160743363561986818e+00,-3.160743363561995700e+00,-3.160743363561967278e+00,-3.244542240044894221e+00
1.000000000000000000e+00,-3.135532213966319759e+00,-3.136945934628363020e+00,-3.136945934651298451e+00,-3.236066279892343189e+00
1.100000000000000089e+00,-3.079967727883082595e+00,-3.093337565278182488e+00,-3.093337565310059212e+00,-3.200684280875686127e+00
1.200000000000000178e+00,-3.006753467084888776e+00,-3.042550684694214524e+00,-3.042550684694750984e+00,-3.151729141125459321e+00
1.300000000000000044e+00,-2.924060485498562123e+00,-2.991884099615359283e+00,-2.991884099637354133e+00,-3.097825647230913582e+00
1.399999999999999911e+00,-2.837315724224574787e+00,-2.946257853337256094e+00,-2.946257853338688726e+00,-3.044600244086697494e+00
1.500000000000000000e+00,-2.750150044183891751e+00,-2.908268864512773888e+00,-2.750641157714110108e+00,-2.995565425831942186e+00
1.600000000000000089e+00,-2.664983075072908214e+00,-2.878459085212957014e+00,-2.696372274000284008e+00,-2.952668364024407133e+00
1.700000000000000178e+00,-2.583407720178031663e+00,-2.856032271848417903e+00,-2.721886041698027281e+00,-2.916689242883510946e+00
1.800000000000000044e+00,-2.506440276665651279e+00,-2.839630934216816005e+00,-2.742125357535834862e+00,-2.887569376435783486e+00
1.900000000000000133e+00,-2.434681096060874239e+00,-2.827853116066831873e+00,-2.757575124383852661e+00,-2.864702877760438859e+00
2.000000000000000000e+00,-2.368421284279992101e+00,-2.819489899125355414e+00,-2.769141011093565474e+00,-2.847192133955599225e+00
2.100000000000000089e+00,-2.307720082820504892e+00,-2.813588740919184872e+00,-2.777689101975569841e+00,-2.834050765085359025e+00
2.200000000000000178e+00,-2.252466920163311404e+00,-2.809436474050686972e+00,-2.783945252806173887e+00,-2.824341651913214069e+00
2.299999999999999822e+00,-2.202433943212761314e+00,-2.806515532700276871e+00,-2.788486292990250526e+00,-2.817252003071869737e+00
2.400000000000000355e+00,-2.157319974954615915e+00,-2.804457714028978366e+00,-2.791757721737265996e+00,-2.812119474902137206e+00
2.500000000000000000e+00,-2.116785062668913309e+00,-2.803004389019385645e+00,-2.794097450530724114e+00,-2.808427400636411608e+00
2.600000000000000089e+00,-2.080475139702401943e+00,-2.801975223902009926e+00,-2.795758588654703392e+00,-2.805784764793080921e+00
2.700000000000000178e+00,-2.048037599132481290e+00,-2.801244818576330786e+00,-2.796928974064942786e+00,-2.803901554874414614e+00
2.800000000000000266e+00,-2.019129742619634182e+00,-2.800725847130540735e+00,-2.797746980741642631e+00,-2.802565368060340845e+00
2.900000000000000355e+00,-1.993422578288067459e+00,-2.800357199428711308e+00,-2.798313878924250542e+00,-2.801621767054721435e+00
3.000000000000000000e+00,-1.970602245997994384e+00,-2.800095802615590657e+00,-2.798703297632432196e+00,-2.800958899654443002e+00
