subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.2034088100531537,1.0,-1.2034088100531537,1.0,-1.2297792766554243,8.110294117647058
2,-1.237946782811612,1.0,-1.3579779279186335,2.0000000000000004,-1.2297792766554243,8.110294117647058
3,-1.237946782811612,1.0,-1.4401682305754206,1.7005855371786365,-1.4239952069950552,8.6171875
4,-1.2379467828116115,1.0000000000000002,-1.548060282916922,2.0,-1.5132683906433795,8.6171875
5,-1.2379467828116115,1.0,-1.5480602829169219,2.0000000000000004,-1.7312274275840422,8.72626582278481
6,-1.4424460575993452,1.7107486425977823,-1.548060282916922,2.0000000000000004,-1.8663358473960587,8.72626582278481
7,-1.4424460575993447,1.7107486425977814,-1.5480602829169217,2.000000000000001,-1.8663358474551972,11.465696465696466
8,-1.537205534838193,1.505832900264744,-1.5480602829169217,1.9999999999999998,-1.8663358475453786,11.465696465696466
9,-1.5372055348381943,1.5058329002647455,-1.5480602829169225,2.000000000000001,-1.8663358478720684,14.551451187335092
10,-1.5375309068494447,1.5059076897008274,-1.5480904876598738,1.999361067226501,-1.8663359357530722,19.21602787456446
11,-1.5378119524271772,1.5060125884184405,-1.5481289949743584,2.000578152728445,-1.866335935901705,19.21602787456446
12,-1.5378119524271778,1.5060125884184132,-1.548266697203169,2.0000000246557406,-1.8663380263182208,19.21602787456446
13,-1.5384852675807812,1.5121442946363592,-1.635179238346262,4.423621454277683,-1.8663388354207462,19.21602787456446
14,-1.5384925222200865,1.5114505089844545,-1.74907851032565,5.167208322867461,-1.8663394444727741,19.21602787456446
15,-1.538533762138969,1.5074736596037306,-1.866318781135538,6.000000000000002,-1.8663413881792104,19.21602787456446
16,-1.5385337621389688,1.507473659603725,-1.8663187811355393,6.000000000000003,-1.8663429738311665,21.62745098039215
17,-1.5477395725816359,1.9999998130937122,-1.8663187811355368,5.999999999999999,-1.866342988929156,21.62745098039215
18,-1.614628070710885,1.8363718574497805,-1.8663187811355366,6.000000000000002,-1.8663430008415811,29.179894179894173
19,-1.6782888682497763,1.7115444924808856,-1.8663187811355382,6.0,-1.8663437063378836,43.769841269841265
20,-1.6782888682497759,1.711544492480885,-1.866318781135538,6.000000000000001,-1.86634370749916,43.769841269841265
21,-1.678288868249776,1.7115444924808854,-1.8663187811355375,6.0,-1.8663437074991545,44.83739837398373
22,-1.678288868249775,1.711544492480886,-1.8663187811355393,5.999999999999998,-1.8663437074991587,44.83739837398373
23,-1.6782888701574699,1.7115445055989968,-1.866318781135538,6.000000000000001,-1.8663437074991642,48.80530973451328
24,-1.67926711486953,1.7512232636747944,-1.8663187811355373,6.000000000000002,-1.8663437074991578,48.80530973451328
25,-1.6981830405701044,1.5793013079676501,-1.8663187811355395,6.000000000000002,-1.8663437074991647,58.052631578947356
26,-1.7765642677377183,1.8781034576977689,-1.8663237582202703,1.9999999999999998,-1.8663437074991602,58.052631578947356
27,-1.7898506353078338,0.5559161579164456,-1.8663237582202705,2.0000000000000004,-1.866343707499159,64.88235294117646
28,-1.799854546997197,0.6692358815860857,-1.8663237582202703,2.0,-1.8663437074991565,64.88235294117646
29,-1.7998545469971958,0.6692358815860948,-1.8663237582202707,2.0,-1.866343707499162,76.59722222222221
30,-1.866339851866823,0.6664838891958683,-1.8663293163248804,2.0,-1.8663437074991607,76.59722222222221
31,-1.8663398518668357,0.6664287424192709,-1.8663293163248789,2.000000000000001,-1.8663437074991625,106.05769230769232
32,-1.8663437049445335,0.00035453825646400384,-1.8663367657307655,2.0,-1.866343707499157,106.05769230769232
33,-1.8663437049445355,0.00035453825670739547,-1.866336765730764,1.9999999999999998,-1.8663437074991602,141.41025641025644
34,-1.8663437049445366,0.00035453825649085335,-1.8663424852775012,2.0030145335988112e-17,-1.8663437074991656,157.57142857142858
35,-1.8663437074991582,9.146454833576784e-16,-1.8663424853382122,-4.006181604664307e-18,-1.866343707499167,157.57142857142858
36,-1.866343707499158,1.54850101088627e-17,-1.8663437074991582,1.4577878917639371e-21,-1.8663437074991596,177.90322580645162
