subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.4274137614688502,0.0,-1.4274137614688502,0.0,-1.8291374123526847,4.583385189794649
2,-1.4274137614688502,2.907845620777688e-29,-1.4274137614688502,2.907845620777688e-29,-1.8735208475530287,7.8273113708820405
3,-1.4981433103640511,1.2621774483536194e-29,-1.4738535426345014,1.9999999999999996,-1.9079657757286939,7.8273113708820405
4,-1.4981433103640511,5.208455618042603e-32,-1.4981433103640511,5.088008531002895e-31,-1.9414573882514015,8.820958083832336
5,-1.5037954411886312,1.8384367357601772,-1.5037954411886305,1.8384367357601796,-1.9664265317155671,24.308580858085808
6,-1.6175865935257425,0.5474217424994672,-1.5551628161351656,1.9999999999999996,-1.9681553101702274,24.308580858085808
7,-1.6318268693123492,1.9999999999999998,-1.6175865935257414,0.5474217424994644,-1.9702561563285226,25.66376306620209
8,-1.631826869312349,2.0,-1.6318268693123494,2.0,-1.9809173024867222,25.66376306620209
9,-1.63670399620319,1.981092121406028,-1.636703996203189,1.9810921214060273,-1.986007195928404,33.40362811791383
10,-1.651683142190626,1.7155378639679286,-1.6425237418985923,2.0,-1.9920115342831477,33.40362811791383
11,-1.6915148558172868,1.2458454058811863,-1.6455520873044147,1.9447937590244702,-1.9931659418249883,34.90758293838863
12,-1.6915148558172874,1.2458454058811859,-1.6559976666863159,0.905401575421753,-1.9949932061673232,34.90758293838863
13,-1.691514855817287,1.245845405881185,-1.6706015819910285,1.2880808581160899,-1.9953000176797526,34.90758293838863
14,-1.6921819433840668,1.2440286864658694,-1.6805417155622846,0.6638509519821171,-1.9955583922296924,34.90758293838863
15,-1.830207231411356,1.9908233763531065,-1.6811779431120368,0.9031923377274411,-1.9958747389141767,34.90758293838863
16,-1.947154317901762,0.17047326360616283,-1.7319636760814938,6.000000000000002,-1.996131193733773,34.90758293838863
17,-1.9500300358423215,0.10766660306971189,-1.7319636760814938,6.0,-1.9961417629283336,37.19949494949495
18,-1.9540300080610093,0.03796840314569134,-1.8233719931922003,1.9999999999999998,-1.996149031000309,37.19949494949495
19,-1.9548590563122306,0.015964833478702933,-1.8302072314113562,1.9908233763531065,-1.9961498666085724,57.99606299212598
20,-1.9548590563122308,0.015964833478702888,-1.838917838920753,2.0000000000000004,-1.996150325518808,57.99606299212598
21,-1.9562031675032212,-6.979130223990313e-18,-1.9562031675032205,-1.4065380686934153e-18,-1.9961503255188076,69.15962441314554
22,-1.9645899618090312,-6.5338193195657714e-18,-1.964589961809032,-4.1083437224945986e-18,-1.9961503255188096,124.83898305084746
23,-1.9751458740656553,3.5013518581650164e-18,-1.9751458740656558,-2.6464625931975245e-18,-1.9961503255188027,125.90598290598288
24,-1.9756843802189277,0.0018287256160709065,-1.9756843802189286,0.0018287256160709252,-1.996150325518809,138.97169811320757
25,-1.9759973814955418,-4.382987523986217e-18,-1.975997381495541,-3.667395917763286e-18,-1.9961503255188109,138.97169811320757
26,-1.975997381495542,-3.667395917762127e-18,-1.9759973814955412,2.9518043115383334e-18,-1.9961503255188084,188.85897435897434
27,-1.9773062032818143,0.0032095959730081046,-1.9759973814955414,-4.382987523992084e-18,-1.996150325518807,188.85897435897434
28,-1.9781842811747539,2.391234618951192e-30,-1.977306203281815,0.003209595973007986,-1.9961503255188113,226.6307692307693
29,-1.9781842811747528,-8.268090409541498e-18,-1.9781842811747534,-3.810997217616293e-18,-1.9961503255188067,226.6307692307693
30,-1.9781842811747534,-3.810997217615671e-18,-1.9781842811747534,6.460959743126709e-19,-1.9961503255188056,507.96551724137936
31,-1.9781842811747532,4.457093191934338e-18,-1.978184281174754,2.1385526102475867e-30,-1.9961503255188084,507.96551724137936
32,-1.9961503255188078,-4.8669470667742315e-18,-1.9961503255188078,3.399719300759325e-18,-1.9961503255188076,1339.1818181818182
33,-1.9961503255188082,2.391234618951192e-30,-1.9961503255188084,4.86694706677698e-18,-1.9961503255188102,3682.7499999999995
34,-1.9961503255188082,1.3065508742723008e-30,-1.9961503255188078,-3.399719300747683e-18,-1.9961503255188027,3682.7499999999995
35,-1.9961503255188082,1.5037661005775538e-30,-1.9961503255188082,1.932491534746859e-18,-1.9961503255188058,4910.333333333333
36,-1.9961503255188082,-4.866947066773196e-18,-1.9961503255188084,2.982880297866951e-30,-1.9961503255188089,4910.333333333333
