subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.829137412352686,0.0,-1.829137412352686,0.0,-1.829137412352686,3.773584905660374
2,-1.829137412352686,2.1716725340681608e-31,-1.829137412352686,2.1716725340681608e-31,-1.8735208475530298,7.369196757553421
3,-1.829137412352686,0.0,-1.829137412352686,0.0,-1.9079657757286952,7.369196757553421
4,-1.8735208475530298,4.332622505212043e-30,-1.8735208475530298,4.332622505212043e-30,-1.9414573882514041,18.34862385321099
5,-1.8735208475530298,6.776113020152813e-30,-1.8735208475530298,6.776113020152813e-30,-1.966426531715567,28.90173410404622
6,-1.8735208475530298,3.427721201466591e-29,-1.8735208475530298,3.427721201466591e-29,-1.968155310170228,28.90173410404622
7,-1.8735208475530298,3.427721201466591e-29,-1.8735208475530298,3.427721201466591e-29,-1.9702561563285252,38.46153846153842
8,-1.8873515616144203,0.03722842481738735,-1.8785736819384224,0.016131151617249803,-1.9809173024867173,61.72839506172834
9,-1.895538771018222,0.10645331394288521,-1.895538771018222,0.10645331394288521,-1.9860071959284034,61.72839506172834
10,-1.905370817840185,0.2011871427657484,-1.9174017668835228,0.048591285436771284,-1.9920115342831473,61.72839506172834
11,-1.905370817840185,0.2011871427657484,-1.9269722761562118,0.06911987225236071,-1.9931659418249872,61.72839506172834
12,-1.905370817840185,0.2011871427657484,-1.9461892733662387,0.03021692220268656,-1.9949932061673301,61.72839506172834
13,-1.9284751081141147,0.4197241694296652,-1.9485463119956206,-2.7483203230673408e-18,-1.9953000176797577,61.72839506172834
14,-1.9284751081141147,0.4197241694296652,-1.9485463119956206,-2.7483203230673408e-18,-1.9955583922297018,66.22516556291384
15,-1.9284751081141147,0.4197241694296652,-1.9485463119956206,-2.7483203230673408e-18,-1.995874738914178,69.93006993006986
16,-1.9284751081141147,0.4197241694296652,-1.9485463119956206,-2.7483203230673408e-18,-1.9961311937337727,74.074074074074
17,-1.9284751081141147,0.4197241694296647,-1.9485463119956206,5.3047814388202024e-30,-1.9961417629283265,79.3650793650793
18,-1.9284751081141147,0.4197241694296644,-1.9485463119956206,8.82538137716007e-30,-1.9961490310003103,101.01010101010091
19,-1.9284751081141143,0.4197241694296649,-1.9485463119956206,8.828462865071089e-30,-1.9961498666085755,103.09278350515456
20,-1.9284751081141156,0.41972416942966634,-1.9485463119956206,8.828462865071089e-30,-1.9961503255188053,124.99999999999989
21,-1.9284751081141156,0.4197241694296653,-1.9485463119956206,8.828462865071089e-30,-1.9961503255188109,131.57894736842096
22,-1.9284751081141152,0.4197241694296648,-1.9485463119956203,1.4598019795668674e-18,-1.9961503255188076,133.3333333333332
23,-1.9284751081141156,0.419724169429666,-1.9485463119956203,5.124229076997692e-18,-1.996150325518811,133.3333333333332
24,-1.9284751081141156,0.41972416942966495,-1.9485463119956203,-5.436952051913378e-19,-1.9961503255188204,133.3333333333332
25,-1.9284751081141152,0.419724169429666,-1.9485463119956203,4.208122302640169e-18,-1.9961503255188098,135.13513513513502
26,-1.94920285338109,0.48442761487198543,-1.9485463119956203,-4.208122302621864e-18,-1.9961503255188124,135.13513513513502
27,-1.9492028533810908,0.4844276148719834,-1.9485463119956203,-6.0403358513380695e-18,-1.996150325518811,135.13513513513502
28,-1.9492028533810897,0.48442761487198516,-1.9485463119956203,1.2661833826379443e-29,-1.9961503255188178,136.98630136986287
29,-1.9492028533810912,0.48442761487198516,-1.9485463119956203,5.1242290770076684e-18,-1.996150325518809,136.98630136986287
30,-1.9492028533810912,0.48442761487198627,-1.9485463119956203,5.1242290770076684e-18,-1.9961503255188076,169.49152542372872
31,-1.9492028533810908,0.4844276148719855,-1.9757808441041163,5.7130678064786005e-18,-1.99615032551881,178.5714285714284
32,-1.9492028533810908,0.4844276148719834,-1.9757808441041163,6.155029643999169e-18,-1.9961503255188122,185.18518518518505
33,-1.9492028533810903,0.48442761487198427,-1.9757808441041165,4.65884661268917e-18,-1.9961503255188076,185.18518518518505
34,-1.9492028533810906,0.48442761487198543,-1.9757808441041165,4.046587256420821e-18,-1.99615032551881,185.18518518518505
35,-1.9492028533810903,0.48442761487198355,-1.9757808441041165,4.046587256420821e-18,-1.9961503255188056,192.30769230769218
36,-1.9492028533810908,0.4844276148719842,-1.9757808441041165,4.658846612691789e-18,-1.996150325518807,208.33333333333317
37,-1.9492028533810903,0.48442761487198516,-1.9757808441041165,4.658846612691789e-18,-1.9961503255188093,232.55813953488354
38,-1.9498890094748549,0.4798905830536464,-1.9757808441041165,1.4961830313175565e-18,-1.9961503255188124,238.09523809523796
39,-1.949889009474854,0.47989058305364707,-1.9757808441041165,4.419618375264049e-19,-1.9961503255188104,238.09523809523796
40,-1.949889009474854,0.4798905830536473,-1.9757808441041165,-3.604625418888737e-18,-1.9961503255188076,238.09523809523796
41,-1.9504559192640314,0.47595526695613166,-1.9757808441041165,-3.604625418888737e-18,-1.9961503255188018,270.27027027027003
42,-1.9504559192640314,0.47595526695613255,-1.9757808441041165,-2.5504042250975777e-18,-1.9961503255188031,277.77777777777754
43,-1.9504559192640318,0.4759552669561315,-1.9757808441041165,4.658846612692036e-18,-1.9961503255188096,285.71428571428544
44,-1.950455919264032,0.47595526695613216,-1.9757808441041165,4.658846612692036e-18,-1.9961503255188089,294.1176470588233
45,-1.9504559192640316,0.4759552669561326,-1.9762441088814957,0.0010852140970305114,-1.9961503255188098,294.1176470588233
46,-1.9504559192640303,0.4759552669561313,-1.9765294457199514,8.920907502401676e-31,-1.996150325518809,294.1176470588233
47,-1.9504559192640314,0.47595526695613216,-1.9772031508784718,0.001818785525547391,-1.9961503255188084,312.4999999999997
48,-1.9504559192640316,0.47595526695613016,-1.9775743638426972,-5.670946720556806e-18,-1.9961503255188107,312.4999999999997
49,-1.9504559192640316,0.4759552669561314,-1.9775743638426972,-4.573423138019335e-18,-1.9961503255188093,312.4999999999997
50,-1.9504559192640303,0.4759552669561295,-1.9775743638426972,4.573423138021517e-18,-1.9961503255188142,322.58064516129
51,-1.9504559192640314,0.47595526695613305,-1.977574363842696,-3.024987159119784e-18,-1.9961503255188005,322.58064516129
52,-1.9504559192640252,0.47595526695613266,-1.9775743638426921,4.379936326237603e-18,-1.9961503255188113,322.58064516129
53,-1.9504559192640314,0.4759552669561332,-1.9775743638427001,-4.52120265609028e-18,-1.9961503255188144,333.333333333333
54,-1.9504559192640252,0.4759552669561331,-1.9775743638426981,-2.1363447704372807e-20,-1.9961503255188062,416.6666666666664
55,-1.9504559192640298,0.47595526695613277,-1.9775743638427001,-3.995361374702325e-18,-1.9961503255188096,416.6666666666664
56,-1.9504559192640354,0.47595526695613277,-1.977574363842697,-3.4943629239321675e-18,-1.9961503255188098,434.78260869565185
57,-1.9513282911939367,0.46841020656521226,-1.9775743638426955,6.2630471419495155e-28,-1.996150325518808,434.78260869565185
58,-1.9513282911939387,0.4684102065652125,-1.9775743638426935,8.49723015181322e-20,-1.9961503255188104,434.78260869565185
59,-1.9518770589991383,0.46055497254527655,-1.9775743638426952,-1.0248493563490892e-18,-1.9961503255188093,434.78260869565185
60,-1.9518770589991499,0.46055497254527733,-1.9775743638426941,7.142286149303325e-18,-1.9961503255188122,434.78260869565185
61,-1.951877058999146,0.46055497254527766,-1.977574363842698,-7.82965951375576e-19,-1.9961503255188056,434.78260869565185
62,-1.951877058999146,0.4605549725452771,-1.9775743638426988,3.4734589518337355e-18,-1.9961503255188153,526.3157894736838
63,-1.9518770589991414,0.46055497254527517,-1.9775743638426981,2.2346256995933996e-28,-1.9961503255188109,526.3157894736838
64,-1.9518770589991463,0.4605549725452767,-1.9775743638426968,4.503010128174922e-18,-1.996150325518807,526.3157894736838
65,-1.9518770589991457,0.4605549725452773,-1.9775743638427028,-1.0972867519528156e-18,-1.9961503255188089,555.555555555555
66,-1.9518770589991374,0.460554972545277,-1.9775743638427008,-1.1688370074299811e-18,-1.9961503255188056,555.555555555555
67,-1.9518770589991425,0.46055497254527744,-1.977574363842698,-3.479873528178558e-18,-1.9961503255188073,555.555555555555
68,-1.9518770589991394,0.460554972545277,-1.9775743638426941,-6.11456118882748e-18,-1.9961503255188051,555.555555555555
69,-1.9518770589991428,0.460554972545277,-1.9775743638426944,-7.541225807657678e-18,-1.9961503255188073,588.2352941176466
70,-1.9518770589991437,0.46055497254527716,-1.9775743638426968,-7.59211473474245e-19,-1.9961503255188071,624.9999999999993
71,-1.9518770589991394,0.4605549725452772,-1.977574363842697,-1.4460961976355774e-18,-1.9961503255188064,769.2307692307687
72,-1.9518770589991463,0.4605549725452772,-1.9775743638426933,-4.266711012311832e-19,-1.9961503255188184,833.3333333333327
73,-1.951877058999148,0.4605549725452766,-1.9775743638426975,-9.534828343139303e-19,-1.9961503255188129,833.3333333333327
74,-1.9518770589991417,0.4605549725452774,-1.9775743638426977,1.2184035409661493e-18,-1.9961503255188058,909.0909090909083
75,-1.951877058999146,0.4605549725452771,-1.9775743638426955,-4.704459658381171e-18,-1.9961503255188089,909.0909090909083
76,-1.9518770589991508,0.460554972545277,-1.9775743638426924,-2.5285970321542614e-19,-1.996150325518807,909.0909090909083
77,-1.9518770589991372,0.46055497254527733,-1.977574363842692,9.15797565242362e-19,-1.9961503255188013,909.0909090909083
78,-1.9518770589991448,0.46055497254527783,-1.9775743638426984,3.561248652939764e-18,-1.9961503255188027,909.0909090909083
79,-1.9518770589991419,0.4605549725452764,-1.977574363842697,3.312445509580334e-18,-1.9961503255188102,999.9999999999993
80,-1.9518770589991428,0.4605549725452771,-1.977574363842703,-7.77100187043027e-19,-1.9961503255188155,999.9999999999993
81,-1.9518770589991439,0.4605549725452775,-1.9775743638426937,-2.9788871838672755e-18,-1.996150325518807,999.9999999999993
82,-1.9518770589991434,0.4605549725452772,-1.977574363842693,4.531806793333072e-20,-1.9961503255188118,999.9999999999993
83,-1.9518770589991477,0.4605549725452773,-1.9775743638426972,-3.229245024877566e-18,-1.9961503255188084,999.9999999999993
84,-1.9518770589991532,0.4605549725452776,-1.9775743638427004,4.1337836108444835e-18,-1.9961503255188129,999.9999999999993
85,-1.9518770589991425,0.4605549725452772,-1.9775743638426935,4.259527764586991e-18,-1.9961503255188073,999.9999999999993
86,-1.9595238403999973,0.5017371663710728,-1.9775743638426992,-8.078751713104517e-18,-1.996150325518804,999.9999999999993
87,-1.9595238403999915,0.5017371663710736,-1.9775743638427008,2.6283868583187287e-18,-1.9961503255188031,1111.1111111111102
88,-1.9595238403999942,0.5017371663710738,-1.9775743638427006,4.754300831821099e-18,-1.9961503255188109,1111.1111111111102
89,-1.9595238403999908,0.5017371663710735,-1.9775743638426972,4.8260634821177275e-18,-1.9961503255188144,1249.9999999999989
90,-1.9595238403999975,0.5017371663710737,-1.9775743638426941,3.1431498474945102e-18,-1.9961503255188051,1249.9999999999989
91,-1.959523840399995,0.5017371663710735,-1.9775743638426975,-9.695887832632864e-19,-1.9961503255188078,1249.9999999999989
92,-1.9595238403999968,0.5017371663710736,-1.9775743638427048,8.133610694448711e-18,-1.9961503255188136,1249.9999999999989
93,-1.9595238403999957,0.5017371663710742,-1.9775743638426952,4.418244258036119e-18,-1.9961503255188056,1249.9999999999989
94,-1.9595238403999902,0.5017371663710739,-1.9775743638426966,-1.0864130647144378e-18,-1.9961503255188013,1249.9999999999989
95,-1.9595238404000022,0.5017371663710737,-1.977574363842692,-4.501748618070571e-18,-1.9961503255188073,1249.9999999999989
96,-1.9595238403999917,0.5017371663710732,-1.9775743638426984,5.975524583961024e-18,-1.9961503255188138,1249.9999999999989
97,-1.9595238403999928,0.5017371663710736,-1.9775743638426992,6.25368309428154e-19,-1.9961503255188089,1428.5714285714278
98,-1.9595238403999855,0.5017371663710735,-1.9775743638426966,3.2289830265998914e-18,-1.9961503255188087,1428.5714285714278
99,-1.9595238403999935,0.5017371663710736,-1.9775743638426972,3.6585664002114915e-18,-1.9961503255188024,1428.5714285714278
