subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.829137412352686,0.0,-1.829137412352686,0.0,-1.829137412352686,2.9345156889495225
2,-1.829137412352686,2.954604520168646e-32,-1.829137412352686,2.954604520168646e-32,-1.8735208475530298,5.577355229040621
3,-1.829137412352686,0.0,-1.829137412352686,0.0,-1.9079657757286947,5.577355229040621
4,-1.8735208475530296,5.997659574557368e-34,-1.8735208475530296,5.997659574557368e-34,-1.941457388251404,14.599547511312215
5,-1.8735208475530296,8.167955355992011e-32,-1.8735208475530296,8.167955355992011e-32,-1.9664265317155716,17.82596685082873
6,-1.8735208475530298,1.778694661198567e-33,-1.8735208475530298,1.778694661198567e-33,-1.9681553101702303,17.82596685082873
7,-1.8785736819384224,0.016131151617249706,-1.8873515616144205,0.03722842481738758,-1.970256156328529,38.87349397590362
8,-1.8955387710182219,0.10645331394288582,-1.8966598494826918,0.11794256659704852,-1.980917302486722,38.87349397590362
9,-1.9140316371097925,0.22569528329335178,-1.914031637109792,0.22569528329335153,-1.986007195928402,38.87349397590362
10,-1.9284751081141152,0.4197241694296672,-1.9269722761562125,0.06911987225236077,-1.9920115342831501,38.87349397590362
11,-1.9284751081141147,0.419724169429666,-1.9355405005399122,0.18314762677255958,-1.9931659418249883,38.87349397590362
12,-1.9284751081141138,0.4197241694296659,-1.9485463119956201,3.2920155282750382e-18,-1.9949932061673268,38.87349397590362
13,-1.9492028533810912,0.48442761487198654,-1.9485463119956212,9.161067743598363e-19,-1.9953000176797564,82.73076923076924
14,-1.949889009474854,0.47989058305364485,-1.9485463119956212,4.208122302634446e-18,-1.9955583922297002,82.73076923076924
15,-1.9498890094748553,0.4798905830536443,-1.9757808441041165,-5.100808450205662e-18,-1.9958747389141738,126.52941176470587
16,-1.9504559192640314,0.47595526695613266,-1.976244108881496,0.0010852140970305053,-1.9961311937337762,157.390243902439
17,-1.9504559192640298,0.4759552669561308,-1.9765294457199518,3.833370961308354e-30,-1.9961417629283251,157.390243902439
18,-1.9513282911939382,0.4684102065652115,-1.9765294457199518,-1.0742787260485387e-18,-1.9961490310003114,201.65625
19,-1.951328291193939,0.4684102065652129,-1.9772031508784718,0.0018187855255474387,-1.9961498666085755,248.19230769230765
20,-1.951328291193939,0.46841020656521226,-1.9775743638426975,1.8332880783951022e-19,-1.9961503255188073,248.19230769230765
21,-1.9513282911939394,0.46841020656520876,-1.9775743638426975,4.5734231380206126e-18,-1.9961503255188078,258.12
22,-1.9518770589991439,0.460554972545277,-1.9775743638426975,4.005934284325451e-31,-1.9961503255188076,258.12
23,-1.9518770589991443,0.4605549725452779,-1.9775743638426975,1.097523582545663e-18,-1.9961503255188016,307.2857142857143
24,-1.9518770589991439,0.4605549725452762,-1.9775743638426975,-3.475899555473905e-18,-1.9961503255188084,307.2857142857143
25,-1.9518770589991443,0.460554972545276,-1.9775743638426975,-1.2808523903839838e-18,-1.996150325518812,307.2857142857143
26,-1.9518770589991443,0.4605549725452758,-1.9775743638426975,-4.573423138019819e-18,-1.9961503255188147,379.58823529411757
27,-1.9595238403999935,0.5017371663710728,-1.9775743638426975,2.378375972930362e-18,-1.99615032551882,496.3846153846154
28,-1.959523840399994,0.5017371663710757,-1.9775743638426975,2.378375972930362e-18,-1.9961503255188142,537.75
29,-1.959523840399994,0.5017371663710741,-1.9775743638426975,1.5592328829759061e-30,-1.996150325518816,586.6363636363637
30,-1.959523840399994,0.5017371663710741,-1.9775743638426975,1.0975235825476922e-18,-1.9961503255188136,586.6363636363637
31,-1.959523840399994,0.5017371663710742,-1.9890594394874548,1.509929076399593e-31,-1.9961503255188093,586.6363636363637
32,-1.959523840399994,0.5017371663710755,-1.9890594394874548,3.692775605868444e-18,-1.9961503255188053,645.2999999999998
33,-1.959523840399994,0.5017371663710757,-1.9890594394874548,3.6927756058697786e-18,-1.996150325518811,806.625
34,-1.959523840399994,0.501737166371075,-1.9890594394874548,5.756972299160161e-18,-1.996150325518808,806.625
35,-1.959523840399994,0.5017371663710767,-1.9890594394874548,-5.756972299158503e-18,-1.996150325518811,921.8571428571428
36,-1.959523840399994,0.5017371663710761,-1.9890594394874548,-5.082762292072572e-18,-1.9961503255188104,921.8571428571428
37,-1.959523840399994,0.5017371663710751,-1.9890594394874548,-1.1513944598313432e-18,-1.996150325518806,921.8571428571428
38,-1.9595245363038751,0.501547810086637,-1.9890594394874548,1.1513944598322646e-18,-1.9961503255188053,921.8571428571428
39,-1.9595245363038751,0.5015478100866375,-1.9890594394874548,-9.688340131399726e-18,-1.9961503255188167,921.8571428571428
40,-1.9595245363038751,0.5015478100866371,-1.9890594394874548,5.0827622920735366e-18,-1.9961503255188147,1075.5
41,-1.9595245363038751,0.5015478100866368,-1.9890594394874548,4.8379360203007365e-31,-1.9961503255188002,1075.5
42,-1.9595245363038751,0.5015478100866373,-1.9890594394874548,5.995564525532366e-18,-1.9961503255188084,1075.5
