subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-2.1688644786152107,0.0,-2.1688644786152107,0.0,-2.3684212842799974,23.860759493670905
2,-2.270155106388062,1.0,-2.270155106388062,1.0,-2.4124392414062474,28.560606060606087
3,-2.2714362680883333,1.0,-2.373700572081023,1.9999999999999998,-2.434466278620998,28.560606060606087
4,-2.2834950722995373,1.0000000000000004,-2.3837999301420223,1.9774325688159426,-2.487184554974716,39.27083333333338
5,-2.2834950722995364,1.0,-2.3974553430862606,2.000000000000001,-2.5334198157026475,39.27083333333338
6,-2.283495072299537,1.0000000000000004,-2.3974553430862584,2.0,-2.5570312336105623,40.106382978723445
7,-2.2861651433095904,1.0,-2.397455343086261,2.0000000000000004,-2.598085808493682,40.106382978723445
8,-2.3988837355708665,1.9339374984200717,-2.3997945631785282,1.9920564145455693,-2.633821647659089,40.106382978723445
9,-2.4285892312137616,0.06931011688031671,-2.399794563178532,1.9920564145455693,-2.648570175915641,40.106382978723445
10,-2.4285892312137616,0.06931011688031731,-2.3997945631785296,1.992056414545569,-2.6488808405717914,40.106382978723445
11,-2.4285892312137616,0.06931011688031723,-2.3997945631785287,1.992056414545569,-2.649258693853701,40.106382978723445
12,-2.428589231213762,0.06931011688031737,-2.403004104184847,6.0,-2.659751317729229,40.106382978723445
13,-2.4285892798666118,0.06931079955772662,-2.404739338289696,2.0,-2.6603461791240983,40.106382978723445
14,-2.4296282464750707,0.07105288204428652,-2.4051588716854293,5.977584341474913,-2.689218006888882,45.9756097560976
15,-2.43330910983038,1.8363227431061433,-2.407728889810922,5.969380137353108,-2.7168830145238627,45.9756097560976
16,-2.433309109830382,1.836322743106144,-2.411819480912715,5.954257015264328,-2.7173088680666226,45.9756097560976
17,-2.450468841784855,0.17905082634019828,-2.415959784872199,5.9436999991559905,-2.7178010595986897,45.9756097560976
18,-2.4504688417848555,0.1790508263401984,-2.4222999911867573,5.939715633508149,-2.7354108019708985,45.9756097560976
19,-2.450468841784856,0.17905082634019845,-2.4313059831299784,5.999999999999999,-2.7532537391135667,45.9756097560976
20,-2.450488881234515,0.17965677754300433,-2.4313059831299797,5.999999999999998,-2.768804273106359,47.12500000000004
