subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-2.368421284279992,0.0,-2.368421284279992,0.0,-2.368421284279992,34.85024154589365
2,-2.3684212842805907,3.5144436518161726e-12,-2.3684212842805907,3.5144436518161726e-12,-2.412439241406176,38.57754010695181
3,-2.3684212842807986,6.250432601740333e-33,-2.3684212842807986,6.250432601740333e-33,-2.434466278620948,38.57754010695181
4,-2.368903587427378,0.002808666308452145,-2.368903587427378,0.002808666308452159,-2.4871845549746583,49.410958904109485
5,-2.385357278386079,0.007577432996492069,-2.369384538687482,0.005593750290684183,-2.5334198157025907,49.410958904109485
6,-2.396458848302664,0.11992349341756926,-2.3786696277561434,0.12683228865342983,-2.557031233610518,49.410958904109485
7,-2.4039555850247396,0.13994902770490222,-2.388461370539901,0.2873509397365438,-2.598085808493631,49.410958904109485
8,-2.40396413933298,0.14086041085804088,-2.3884694203824037,0.2697872888857155,-2.6338216476590435,49.410958904109485
9,-2.4040003630738447,0.14130111531020972,-2.3887205927818567,2.406200231680823e-18,-2.648570175915606,49.410958904109485
10,-2.404045913257603,0.1403138078368443,-2.4153449040673483,-8.282322483057225e-19,-2.64888084057176,56.3593749999999
11,-2.40409494469903,0.14058271022003188,-2.4277113715017014,-3.719009175424596e-18,-2.6492586938536657,57.253968253968154
12,-2.4162104303146683,0.26841931741952285,-2.4280068471015355,0.0014021519867888676,-2.659751317729195,58.17741935483861
13,-2.4162104303146683,0.268419317419524,-2.428163440929833,1.065838676666327e-18,-2.6603461791240646,58.17741935483861
14,-2.4162137318879298,0.2684577624653919,-2.4281845932205735,5.807865378003885e-05,-2.6892180068888574,64.41071428571418
15,-2.4162137318879306,0.2684577624653913,-2.428199859141287,-3.766976796847131e-18,-2.716883014523833,64.41071428571418
16,-2.424164852221036,0.48770098609879026,-2.428200482971023,3.845831233768589e-06,-2.7173088680665947,66.79629629629616
17,-2.424165264933189,0.48750639746852664,-2.4282008354243314,1.0715902362622341e-18,-2.7178010595986697,66.79629629629616
18,-2.424165264933189,0.4875063974685268,-2.4282008354243314,6.4662129112767756e-18,-2.735410801970868,74.37113402061843
19,-2.4241652649331886,0.48750639746852814,-2.4282008354243314,6.4662129112815334e-18,-2.7532537391135237,74.37113402061843
20,-2.4273260836923174,0.5324664161288524,-2.4282008354243314,3.7689015737688146e-18,-2.7688042731063267,80.15555555555542
21,-2.4273260836923174,0.5324664161288546,-2.4282008354243314,5.748823846798124e-29,-2.784437307088556,80.15555555555542
22,-2.4273260836923174,0.5324664161288551,-2.4282008354243314,-3.768901573653801e-18,-2.7928614657604944,80.15555555555542
23,-2.4273260836923183,0.5324664161288513,-2.4282008354243314,5.726637133838783e-29,-2.793009295419833,80.15555555555542
24,-2.4273260836923174,0.5324664161288548,-2.4282008354243314,-2.6973113374543308e-18,-2.793173351850765,80.15555555555542
25,-2.4273260836923174,0.5324664161288555,-2.4282008354243314,-1.0715902361453102e-18,-2.811079210586521,80.15555555555542
26,-2.4273260836923174,0.5324664161288568,-2.4282008354243314,2.6973113375661888e-18,-2.829282563546889,87.97560975609738
27,-2.4273260836923174,0.5324664161288568,-2.4282008354243314,5.610773188384446e-29,-2.82931566426404,87.97560975609738
28,-2.4273260836923174,0.5324664161288564,-2.4282008354243314,-3.768901573655317e-18,-2.829380393561172,87.97560975609738
29,-2.4273260836923174,0.5324664161288549,-2.4282008354243314,5.605842807726815e-29,-2.8294510828142725,87.97560975609738
30,-2.4273260836923174,0.5324664161288551,-2.4282008354243314,-2.6973113374538624e-18,-2.8294978420157566,87.97560975609738
31,-2.4273405144199076,0.5328640682497967,-2.4282008354243314,3.768901573767496e-18,-2.8295418461679063,87.97560975609738
32,-2.439212963530838,0.6149467046983805,-2.4282008354243314,5.589819070589513e-29,-2.8295780755232802,87.97560975609738
33,-2.439212963530838,0.6149467046983782,-2.428200835424332,-3.7689015736442855e-18,-2.829626455366463,87.97560975609738
34,-2.439212963530838,0.614946704698375,-2.428200835424332,6.710864372618436e-29,-2.829666983102933,87.97560975609738
35,-2.439212963530838,0.6149467046983774,-2.428200835424332,3.768901573778805e-18,-2.8297222618940983,87.97560975609738
36,-2.439212963530838,0.6149467046983765,-2.428200835424332,6.740446656564224e-29,-2.8297819334235776,87.97560975609738
37,-2.4392129635308377,0.6149467046983729,-2.428200835424332,6.735516275906592e-29,-2.829893600409858,87.97560975609738
38,-2.4392129635308395,0.6149467046983721,-2.4282008354243327,3.76890157378029e-18,-2.8300189558738644,87.97560975609738
39,-2.4397844927059733,0.6154455915698338,-2.446527872528854,8.92770247730532,-2.8301553308682794,87.97560975609738
40,-2.4397845013226425,0.6154554430582826,-2.4818741875047126,9.34522690028001,-2.830330236699625,87.97560975609738
41,-2.4397845013226425,0.6154554430582826,-2.55103821904008,9.939642816712638,-2.8303793958495045,87.97560975609738
42,-2.448002328569504,0.6308612712638378,-2.61605078518682,10.627013785258134,-2.8304329603410645,87.97560975609738
43,-2.452956677921301,0.5818252360157299,-2.661514124545305,11.059494572637318,-2.830585595465769,87.97560975609738
44,-2.452956677921301,0.5818252360157304,-2.71246594687681,11.55798939163732,-2.83082314577282,87.97560975609738
45,-2.452956677921299,0.5818252360157299,-2.7556196433986404,11.999999999999996,-2.8308647975172394,87.97560975609738
46,-2.452956677921299,0.5818252360157288,-2.755619643398638,12.0,-2.8310031460546963,92.48717948717932
47,-2.4531432395478845,0.5822797932697108,-2.7556196433986413,12.000000000000002,-2.8311583087068,92.48717948717932
48,-2.4531432395478827,0.582279793269709,-2.7556196433986404,12.000000000000004,-2.831353371694796,92.48717948717932
49,-2.460640434602265,0.5307096091845342,-2.7556196433986413,12.0,-2.831577586472631,92.48717948717932
50,-2.460640434602266,0.5307096091845278,-2.755619643398641,12.0,-2.831703200007515,92.48717948717932
51,-2.4606404346022663,0.5307096091845336,-2.755619643398642,11.999999999999996,-2.8317811771070818,92.48717948717932
52,-2.46064043460227,0.5307096091845322,-2.7556196433986497,12.000000000000004,-2.8319097926401837,93.68831168831152
53,-2.4606404346022637,0.5307096091845328,-2.755619643398645,12.000000000000004,-2.8319771149813087,94.92105263157877
54,-2.4707827316636113,0.48601552289578975,-2.7556196433986426,12.000000000000004,-2.8320368436797203,94.92105263157877
55,-2.470782731663612,0.4860155228957902,-2.7556196433986515,12.000000000000004,-2.832113216798731,94.92105263157877
56,-2.4707827316636246,0.48601552289578703,-2.7556196433986484,12.000000000000002,-2.83218201052864,94.92105263157877
57,-2.4707827316636153,0.4860155228957885,-2.755619643398643,12.0,-2.8323055685979694,94.92105263157877
58,-2.470782731663616,0.48601552289578936,-2.755619643398642,12.000000000000004,-2.832403716429151,94.92105263157877
59,-2.470984891851896,0.48799264879955484,-2.755619643398648,12.000000000000004,-2.832521441983708,94.92105263157877
60,-2.4709848918519004,0.4879926487995536,-2.7556196433986475,11.999999999999998,-2.832618668635122,94.92105263157877
61,-2.470988303330485,0.4880231783468465,-2.755619643398647,12.000000000000005,-2.8327914937018397,116.35483870967718
62,-2.470988303330495,0.4880231783468443,-2.755619643398649,12.000000000000005,-2.8330014063594757,116.35483870967718
63,-2.471147339092323,0.48948403468127183,-2.7556196433986453,11.999999999999998,-2.8331262699028894,122.27118644067774
64,-2.471296611044992,0.49003626375017606,-2.7556196433986475,12.0,-2.8332978761393917,122.27118644067774
65,-2.4758134519803816,0.45382895457254074,-2.755619643398642,12.000000000000002,-2.8334408532010817,138.730769230769
66,-2.4758134519803763,0.4538289545725435,-2.7556196433986435,12.000000000000004,-2.833680389021032,138.730769230769
67,-2.482378912802488,0.41881589975319633,-2.7556196433986537,11.999999999999996,-2.83395015596451,153.4893617021274
68,-2.482378912802496,0.41881589975319367,-2.7556196433986426,12.000000000000004,-2.834023657045195,160.31111111111088
69,-2.482378912802486,0.4188158997531929,-2.7556196433986377,12.000000000000004,-2.834105222860443,160.31111111111088
70,-2.4828757914388797,0.4227246465120957,-2.7556196433986426,12.0,-2.8341957145807775,163.95454545454518
71,-2.4867611764184114,0.42858702873137744,-2.7556196433986444,12.000000000000002,-2.834389335255592,171.76190476190445
72,-2.487105567392953,0.4368720781266361,-2.7556196433986493,12.0,-2.834656250127484,171.76190476190445
73,-2.4871756111601955,0.4377300267892825,-2.75561964339865,12.000000000000004,-2.834888849810062,171.76190476190445
74,-2.487175611160199,0.4377300267892828,-2.755619643398647,12.000000000000004,-2.83499651845436,171.76190476190445
75,-2.487210988667705,0.43801491534073794,-2.7556196433986524,11.999999999999996,-2.8351258757685325,171.76190476190445
76,-2.4906006299978922,0.4260542502824385,-2.755619643398643,12.000000000000005,-2.835260103486902,171.76190476190445
77,-2.4907972788392247,0.4242003753956671,-2.7556196433986506,12.0,-2.835358589150253,180.34999999999965
78,-2.4908720325678795,0.42389358295619767,-2.7556196433986506,12.0,-2.835534751412209,180.34999999999965
79,-2.496156833505288,0.3979292769228581,-2.755619643398647,12.0,-2.8356832094402273,180.34999999999965
80,-2.496156833505296,0.39792927692285945,-2.7556196433986506,12.000000000000002,-2.836073595669278,180.34999999999965
81,-2.4961568335052875,0.39792927692286023,-2.7556196433986457,11.999999999999996,-2.8365242580774064,180.34999999999965
82,-2.4961568335053026,0.3979292769228596,-2.755619643398646,12.0,-2.83680794022811,180.34999999999965
83,-2.496156833505283,0.39792927692285823,-2.755619643398645,12.000000000000002,-2.837040310976065,184.97435897435867
84,-2.5002836310440406,0.3833399261272339,-2.7556196433986506,12.000000000000002,-2.837372943584328,184.97435897435867
85,-2.500283631044048,0.3833399261272343,-2.755619643398639,12.000000000000002,-2.8375428330623205,184.97435897435867
86,-2.500283631044046,0.3833399261272343,-2.755619643398639,12.000000000000002,-2.837681983509714,184.97435897435867
87,-2.500283631044051,0.3833399261272361,-2.7556196433986493,12.0,-2.8378657654248562,184.97435897435867
88,-2.508609234231667,0.3578298569785853,-2.7556196433986395,12.000000000000004,-2.837997431295286,184.97435897435867
89,-2.5086092342316753,0.3578298569785868,-2.7556196433986386,12.000000000000005,-2.838379150935117,184.97435897435867
90,-2.5091383691100213,0.35492159772866005,-2.7556196433986426,12.0,-2.8389561729235537,184.97435897435867
91,-2.510556277189205,0.34335809904702375,-2.7556196433986533,11.999999999999998,-2.839743252254518,189.84210526315755
92,-2.5117527518098934,0.36059316743432357,-2.75561964339865,12.0,-2.841039945332441,189.84210526315755
93,-2.511752751809901,0.36059316743432523,-2.7556196433986453,12.000000000000004,-2.8411239487002917,189.84210526315755
94,-2.5117527518098988,0.3605931674343249,-2.7556196433986497,12.000000000000002,-2.841208991932697,189.84210526315755
95,-2.5117527518098868,0.3605931674343261,-2.7556196433986484,12.0,-2.8412278775615283,189.84210526315755
96,-2.5119352392260526,0.35999954990369815,-2.7556196433986493,12.000000000000005,-2.8412517192510833,189.84210526315755
97,-2.5119352392260597,0.3599995499036975,-2.755619643398649,12.000000000000002,-2.8413541668635607,189.84210526315755
98,-2.5133085071020376,0.38142880914500094,-2.7556196433986564,12.000000000000004,-2.841458688423877,189.84210526315755
99,-2.513308507102052,0.3814288091450039,-2.7556196433986515,12.000000000000004,-2.84148691428147,194.97297297297263
100,-2.513944223475506,0.3860849665137964,-2.7556196433986573,12.000000000000002,-2.8415248978576093,206.1142857142854
101,-2.513944223475503,0.3860849665137962,-2.7556196433986506,12.0,-2.841567811904921,206.1142857142854
102,-2.513944223475514,0.3860849665138004,-2.755619643398661,12.000000000000002,-2.841614202149459,206.1142857142854
103,-2.513945050434872,0.38603237102317656,-2.7556196433986497,12.000000000000004,-2.8416557881437594,206.1142857142854
104,-2.52288272123541,0.3585511122428772,-2.755619643398651,12.000000000000004,-2.8417002631070822,206.1142857142854
105,-2.5229134529779396,0.3582490760383127,-2.7556196433986515,12.000000000000004,-2.84170182575978,206.1142857142854
106,-2.5229134529779316,0.3582490760383136,-2.75561964339864,12.000000000000004,-2.841703104915266,218.60606060606023
107,-2.5230559029576214,0.3632432302794343,-2.7556196433986466,11.999999999999998,-2.841744318009424,218.60606060606023
108,-2.533976624755626,0.45256654995371043,-2.755619643398647,12.0,-2.8417884499953194,225.4374999999996
109,-2.5339776321831247,0.45263826293121384,-2.75561964339864,12.000000000000002,-2.8418312237667473,225.4374999999996
110,-2.5339776321831247,0.45263826293121573,-2.755619643398646,12.000000000000002,-2.8418698242225564,225.4374999999996
111,-2.533977632183134,0.45263826293121384,-2.7556196433986484,11.999999999999998,-2.8419034962243597,225.4374999999996
112,-2.5339776321831295,0.45263826293121,-2.7556196433986444,12.000000000000002,-2.8419348201169012,225.4374999999996
113,-2.549141680082301,0.4367811968835457,-2.7556196433986373,12.000000000000007,-2.8419850134847184,225.4374999999996
114,-2.549141680082308,0.4367811968835458,-2.7556196433986497,12.0,-2.8420309121643075,248.75862068965475
115,-2.5491416800823017,0.4367811968835466,-2.7556196433986417,12.000000000000004,-2.842139800906168,248.75862068965475
116,-2.549141680082299,0.43678119688354455,-2.7556196433986475,12.000000000000004,-2.8422374840969233,257.6428571428567
117,-2.549228724025336,0.43692715332795046,-2.75561964339865,12.0,-2.8422723581639753,257.6428571428567
118,-2.54922872402533,0.43692715332795057,-2.7556196433986515,12.0,-2.8423047836501896,257.6428571428567
119,-2.549228724025336,0.43692715332795323,-2.755619643398648,12.000000000000002,-2.8423752678791256,257.6428571428567
120,-2.5492287240253315,0.4369271533279523,-2.7556196433986506,12.000000000000004,-2.8424536821346282,257.6428571428567
121,-2.5492287240253315,0.4369271533279507,-2.7556196433986515,12.0,-2.8425680085895046,257.6428571428567
122,-2.549954824667924,0.4565197922772567,-2.7556196433986506,12.000000000000002,-2.8426691508731845,257.6428571428567
123,-2.550261008284171,0.47237427623480127,-2.7556196433986475,12.000000000000002,-2.8428244630873416,277.46153846153794
124,-2.552747592585082,0.3085333028062108,-2.7556196433986533,12.000000000000002,-2.8429477001935743,277.46153846153794
125,-2.592020037415921,0.502560538650141,-2.7556196433986426,12.0,-2.8430685813751846,288.55999999999943
