subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-2.368421284279985,0.0,-2.368421284279985,0.0,-2.368421284279985,1.0706167665564967
2,-2.4124392414062,0.0,-2.4124392414062,0.0,-2.4124392414062,42.739516190978286
3,-2.4188120094855434,0.040192317237604004,-2.4188120094855434,0.040192317237604004,-2.4344662786209614,86.61215578914158
4,-2.4252191387010265,0.07909531245780338,-2.4252191387010265,0.07909531245780338,-2.4871845549746756,86.61215578914158
5,-2.4523522534645075,0.10246438683040325,-2.4568275715399643,0.12732252412001258,-2.533419815702605,86.61215578914158
6,-2.4537229471268156,0.11153202840028331,-2.4672625252088345,0.14600325950470916,-2.557031233610533,86.61215578914158
7,-2.455111179120059,0.12068563464175865,-2.491735637310139,0.3704547445542495,-2.598085808493647,86.61215578914158
8,-2.4653854109544167,0.11712511548285132,-2.4919151755997873,-5.22501704366763e-18,-2.6338216476590617,86.61215578914158
9,-2.503613240009856,0.6580456372758128,-2.5366371059519834,1.5011350075210418e-18,-2.6485701759156166,178.35319617921567
10,-2.542449276700788,1.2221136273176874,-2.5562013388373073,0.16500201778709364,-2.648880840571766,243.34486286045853
11,-2.5608428638999134,1.2743536991047417,-2.575932109035194,0.346754101457961,-2.649258693853681,243.34486286045853
12,-2.564280210399785,1.3147737667907315,-2.5759612002483117,0.3295925256439835,-2.659751317729203,243.34486286045853
13,-2.5676930087020082,1.3533922167580124,-2.576728954577829,0.21557614415830462,-2.6603461791240757,243.34486286045853
14,-2.585191225084131,1.4850650595690074,-2.5780652913618183,0.07412015025142281,-2.6892180068888547,243.34486286045853
15,-2.603438316675317,1.6406634875673591,-2.5793775024205865,1.9666759194738306e-18,-2.7168830145238516,243.34486286045853
16,-2.60650103125734,1.639019933511013,-2.5959487628192908,-1.070780089095645e-17,-2.7173088680666044,350.7254594330418
17,-2.609162886732544,1.6239314648805585,-2.618329055185936,-2.22663618367802e-18,-2.7178010595986763,1666.3813131192178
18,-2.6136549632280417,1.6477539925923046,-2.6196255533033,0.009023179596493115,-2.7354108019708763,9798.761114747662
19,-2.6181933198967045,1.6705072074361786,-2.623803441930348,0.06918823736247676,-2.7532537391135423,9798.761114747662
20,-2.6363182579235866,1.720128111748573,-2.6302543826055675,0.014865120891187567,-2.76880427310633,9798.761114747662
21,-2.6534944859235305,1.7582591711617104,-2.6328117186763853,0.03550457458683105,-2.7844373070885706,9798.761114747662
22,-2.6581206177744336,1.790051615720204,-2.639061099809224,0.024646623473232564,-2.792861465760514,9798.761114747662
23,-2.662707236060282,1.8200667048100123,-2.6400554880386133,-1.5081442871754377e-17,-2.793009295419833,9798.761114747662
24,-2.6629887217263146,1.8285397816679485,-2.6446686642474564,-1.2814084357031336e-18,-2.793173351850756,13954.374737316071
25,-2.663179038644437,1.8336798863762955,-2.6516573215750068,-1.6537367888643935e-17,-2.811079210586525,14151.793122215995
26,-2.676544540281781,1.9276729877952297,-2.66307140631971,0.059669285259779714,-2.8292825635468946,20026.522004873466
27,-2.6903164320178923,2.030985505332074,-2.6643631147072933,0.030741784316562708,-2.8293156642640507,20026.522004873466
28,-2.6904859825074245,2.0369236773559085,-2.666676651850149,0.015136906936373526,-2.829380393561192,20026.522004873466
29,-2.690603791476987,2.0407048499090172,-2.6771414106685327,0.07432670570794578,-2.8294510828142783,20026.522004873466
30,-2.703352003295487,2.127884074071803,-2.678294356062676,0.026608540624328658,-2.8294978420157713,20026.522004873466
31,-2.7162179762797534,2.2184610664611997,-2.6799296656009517,4.677645785850256e-19,-2.8295418461679085,20026.522004873466
32,-2.7535964629075282,2.3642159842670347,-2.736784998330026,0.38747219819046275,-2.829578075523299,20056.27308098337
33,-2.787912635828469,2.51560540401731,-2.788304362978081,0.6248326287331266,-2.829626455366458,20056.27308098337
34,-2.7925426076878916,2.510926692208704,-2.7888698108159438,0.5328994071709721,-2.8296669831029435,20056.27308098337
35,-2.805029070278245,2.5787857098208695,-2.7896490219991987,0.41628462827846874,-2.8297222618941,20056.27308098337
36,-2.817784202755941,2.6512886702721072,-2.7912416145882655,0.20521655999698918,-2.8297819334235896,20056.27308098337
37,-2.8177842898492425,2.651296473047873,-2.7950776592561275,1.2667415936347069e-17,-2.829893600409853,20056.27308098337
38,-2.8177843780060132,2.6513043652389214,-2.798279510313917,0.04441469563832122,-2.830018955873885,29081.638724735236
39,-2.8177893923102317,2.6507263463414303,-2.8085236546869137,0.05941269351855859,-2.8301553308682905,29081.638724735236
40,-2.817793340384821,2.650264019014628,-2.8101397117121416,0.01164895881499123,-2.8303302366996306,29081.638724735236
41,-2.8178163705786328,2.648823537422757,-2.8216991231160944,0.244426552603004,-2.830379395849514,29081.638724735236
42,-2.8178339889610045,2.6476881034306494,-2.8224370047490392,0.10631094833480005,-2.830432960341057,29081.638724735236
43,-2.817875531940311,2.644667259029967,-2.8239145479883225,5.8219239283571244e-18,-2.8305855954657853,29081.638724735236
44,-2.817921570314947,2.641376791845462,-2.8239151805827833,9.161658314747281e-07,-2.8308231457728175,93600.67439387819
45,-2.8179299329106295,2.6411959329920105,-2.8239156358200286,-3.790287061461924e-18,-2.830864797517268,93600.67439387819
46,-2.817936613555434,2.641040649430642,-2.823919489629762,5.7155715433735845e-06,-2.83100314605472,207988.2115897421
47,-2.8179547445783855,2.640899334257882,-2.8239222633619465,-8.214667789102373e-18,-2.831158308706787,207988.2115897421
48,-2.81796924639677,2.6407625289042214,-2.835928814570035,-9.405947348092733e-18,-2.8313533716947927,239206.65252227214
49,-2.818057092747502,2.6359154193748395,-2.835961310916639,9.748019932553218e-05,-2.831577586472648,528860.0283081068
50,-2.8181477053551,2.630909819575037,-2.8359951409776962,8.102642929781143e-05,-2.8317032000075244,528860.0283081068
51,-2.8181763039006915,2.6298884456463485,-2.836030302678358,9.720775244408995e-05,-2.831781177107073,528860.0283081068
52,-2.818208517179865,2.628784114895053,-2.836030318362449,0.00010071607286297145,-2.8319097926401824,528860.0283081068
53,-2.818209383689007,2.6287059145464737,-2.8360303553547874,0.00010650651660884086,-2.8319771149813273,528860.0283081068
54,-2.8182102597709897,2.628626870291448,-2.8360490059778063,4.265624878252895e-18,-2.8320368436797234,528860.0283081068
55,-2.8183023117627077,2.624957158093273,-2.836052765821115,4.668300574308462e-06,-2.832113216798721,743240.9960695463
56,-2.818304568512204,2.6250036707969806,-2.836055674901333,4.390116882892393e-18,-2.8321820105286526,743240.9960695463
57,-2.818306436819634,2.625039410270446,-2.83607173053409,2.423208308664858e-05,-2.8323055685979877,1586329.1946977086
58,-2.818625379022556,2.56126866655075,-2.836083359921766,1.7194431708899018e-18,-2.8324037164291442,1586329.1946977086
59,-2.8190969108629247,2.469179518106461,-2.8360951474983223,1.415199407333356e-05,-2.8325214419837064,5681418.732603408
60,-2.8192789061618058,2.457259313748682,-2.8361042659862874,-4.478132397855496e-18,-2.832618668635129,5681418.732603408
61,-2.819278924367854,2.457254035485663,-2.8361308014787294,3.0246441778991368e-05,-2.832791493701834,26437058.604559798
62,-2.819278939175242,2.4572497194263585,-2.836151538806984,-6.92370655764929e-18,-2.833001406359485,26437058.604559798
63,-2.8193695039194417,2.4489932014332183,-2.8362206870901217,0.00018949882792635,-2.8331262699029,29748352.41732385
64,-2.819468970925161,2.4400382142475685,-2.8362231629678467,0.0002493669475648206,-2.8332978761393957,29748352.41732385
65,-2.819476469244477,2.438732449490019,-2.8362982710423057,0.0002367923378597666,-2.8334408532010897,29748352.41732385
66,-2.8194842240769273,2.4373839164138404,-2.836299151509688,0.00023249332335563444,-2.8336803890210343,29748352.41732385
