subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.575616476701867,0.0,-1.575616476701867,0.0,-1.575616476701867,22.622149063474392
2,-1.575616476701867,6.189668922360381e-31,-1.575616476701867,6.189668922360381e-31,-1.6476408473837878,30.182531895507253
3,-1.6119451785021075,1.9999999999999998,-1.6119451785021075,1.9999999999999998,-1.6527669810818488,30.18253989774585
4,-1.6476408473837878,5.196459695639428e-31,-1.6476408473837878,5.196459695639428e-31,-1.7431945469626324,35.950929852263954
5,-1.6476408473837876,1.5552091100542198e-29,-1.6476408473837876,1.5552091100542198e-29,-1.8177413617122797,48.36728139992745
6,-1.6476408473837878,5.408349620775188e-30,-1.6476408473837878,5.408349620775188e-30,-1.888838956657173,48.36735277444864
7,-1.6687814981649518,1.9002677353336768,-1.6687814981649518,1.9002677353336768,-1.8891500937418877,48.67478913066179
8,-1.7237217553219433,2.0000000000000004,-1.7237217553219433,2.0000000000000004,-1.889592951758857,48.67483281749851
9,-1.7251643808056818,1.9954932512661796,-1.7251643808056818,1.9954932512661796,-1.8905998811690632,51.372793567359295
10,-1.7296757807166043,2.0,-1.7296757807166043,2.0,-1.8931403427600644,51.37286681948916
11,-1.7296757807166028,2.000000000000001,-1.7296757807166037,2.0000000000000004,-1.8935950444783576,58.31547711067629
12,-1.729675780716604,2.0,-1.7296757807166045,2.0,-1.8957057519727207,58.31565096992995
13,-1.7536235505015711,0.8840337040109,-1.7380220606452508,0.1303156303419355,-1.8961450969601161,64.65266470341355
14,-1.7982004555735926,1.5114084965765122,-1.7578560809765584,0.43741676823769526,-1.896489688892683,64.65273874332985
15,-1.8017060252129284,1.456127447155658,-1.7905326414693277,0.9825039862461449,-1.8971008726446703,65.07195702099486
16,-1.8038335627711024,2.0135883533493764,-1.840081645233367,6.000000000000002,-1.8975559210903743,69.11548368818491
17,-1.8400816452333666,6.0000000000000036,-1.840081645233367,6.000000000000002,-1.8976143299228887,69.11548712904626
18,-1.8400816452333666,6.0,-1.840081645233367,6.000000000000002,-1.8976545830127052,73.41027597690528
19,-1.8400816452333668,5.999999999999998,-1.8400816452333666,6.000000000000002,-1.897753648607522,78.45597499739625
20,-1.8400816452333675,6.000000000000002,-1.8400816452333668,5.999999999999999,-1.897780645989877,78.45609312675224
21,-1.8400816452333666,6.000000000000002,-1.840081645233367,5.999999999999998,-1.897780645989873,83.33117533907357
22,-1.8431225910592106,2.0,-1.8431225910592117,2.0,-1.897780645989871,83.3313049574914
23,-1.8445508704188582,1.9966614543967225,-1.8445508704188585,1.9966614543967225,-1.8977806459898698,86.25978135105899
24,-1.8492871542558915,2.0000000000000004,-1.8492871542558915,1.9999999999999993,-1.897780645989873,86.25985726542416
25,-1.8492871542558915,2.0,-1.849287154255892,2.0,-1.897780645989876,94.59296389011162
26,-1.8507385027005898,1.993999544710912,-1.8507385027005896,1.99399954471091,-1.8977806459898772,139.10957959009752
27,-1.8818756880736875,2.0,-1.8818756880736869,1.9999999999999998,-1.8977806459898754,139.10961404336297
28,-1.8957057519727212,2.2807953054626353e-17,-1.8957057519727214,1.1798400913711758e-28,-1.8977806459898712,184.77341955450476
29,-1.8957080072284076,5.524679043051074e-06,-1.8957080072284076,5.524679043042617e-06,-1.8977806459898725,325.14161184040387
30,-1.8957097034269126,8.988083938861903e-29,-1.8957097034269126,-1.416562773253528e-17,-1.897780645989877,325.14320813382074
31,-1.8957396241549043,0.00011007025441020507,-1.8957396241549043,0.00011007025441021157,-1.8977806459898774,345.3457052324756
32,-1.8957614674194276,-1.4159176891457086e-17,-1.8957614674194276,1.154695150017256e-28,-1.897780645989877,345.347383525697
33,-1.8961361675230344,0.0013066279348132603,-1.8961361675230346,0.0013066279348132757,-1.8977806459898698,1759.385162913608
34,-1.89638360239144,8.411229401919038e-29,-1.8963836023914402,1.4771420450263446e-28,-1.897780645989875,1759.395436556289
35,-1.897455240542347,0.01189796199988237,-1.897455240542347,0.011897961999882306,-1.897780645989878,1868.7121472212164
36,-1.8977806459898734,7.121934859948447e-29,-1.8977806459898734,1.4166603159971695e-17,-1.8977806459898727,1868.7231522939337
