subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.3533410919322044,0.0,-1.3533410919322044,0.0,-1.575616476701867,11.063877451456621
2,-1.6476408473837878,0.0,-1.6476408473837878,0.0,-1.6476408473837878,12.996307453948369
3,-1.6476408473837876,3.851935471369028e-30,-1.6476408473837876,3.851935471369028e-30,-1.6527669810818468,15.62923763106134
4,-1.647640847383788,1.8824621215529954e-59,-1.647640847383788,1.711329201411814e-59,-1.743194546962628,15.6292399058061
5,-1.6806619718279916,0.13709939400511953,-1.6617720254389912,0.08133583910529142,-1.8177413617122746,17.897330460950318
6,-1.7097057240252502,0.23005318645460476,-1.7116982457449645,0.5385131748794075,-1.8888389566571748,17.89735321953627
7,-1.7097057240252502,0.23005318645460476,-1.73802206064525,0.13031563034193538,-1.8891500937418853,25.221217872267516
8,-1.7222918240955387,2.0,-1.7895140688552535,0.5839045087420975,-1.8895929517588559,25.22122013788509
9,-1.7227207767616615,1.9988961505568124,-1.79159599476779,1.0435282172080733,-1.8905998811690654,28.121215767751277
10,-1.7237217553219448,2.0000000000000004,-1.8400816452333666,5.999999999999998,-1.8931403427600675,28.121257387059657
11,-1.7385643372006978,0.24167159881476102,-1.8400816452333668,6.0,-1.8935950444783565,28.951165228977896
12,-1.738564337200698,0.24167159881476083,-1.8400816452333673,6.000000000000002,-1.8957057519727176,29.848390790058204
13,-1.7385643372006983,0.24167159881476127,-1.8400816452333668,6.0,-1.8961450969601235,29.848433500246045
14,-1.7919499379028208,0.931256773051822,-1.8400816452333661,6.000000000000001,-1.8964896888926794,37.38487434833824
15,-1.844765809212936,1.5504463553453485,-1.8464104816198674,2.665560998741799e-27,-1.8971008726446652,37.38491391501828
16,-1.844812556742376,1.5531359371122333,-1.8464104816198672,-1.347965406795496e-17,-1.8975559210903743,37.90390214216248
17,-1.8448410200729415,1.500259030807901,-1.8464104816198672,4.996119855009526e-18,-1.8976143299228931,40.25916735968872
18,-1.8464776747313718,6.748289943197551e-18,-1.8464776747313718,-1.3496579884702404e-17,-1.897654583012703,40.259169364034584
19,-1.84663693272916,-9.189962787959143e-18,-1.8466369327291599,-1.2539385876180624e-18,-1.8977536486075162,42.76076356469417
20,-1.84663693272916,3.6759851152287406e-18,-1.8466369327291599,-1.1697839962016512e-17,-1.897780645989874,45.614584801698165
21,-1.84663693272916,-8.605908817887893e-18,-1.84663693272916,-6.767916260352902e-18,-1.897780645989875,45.61465297568339
22,-1.84663693272916,-3.0919311451930882e-18,-1.84663693272916,3.2398517377426955e-27,-1.8977806459898734,47.13666288830866
23,-1.8466369327291599,-5.840539691214612e-19,-1.84663693272916,-5.840539695028754e-19,-1.8977806459898785,47.13668046839752
24,-1.8466369327291599,8.605908818702787e-18,-1.8466369327291599,1.1697839963595812e-17,-1.8977806459898765,48.415990349106394
25,-1.8492871542558913,2.0,-1.8492871542558909,2.0000000000000004,-1.897780645989877,48.41606496750481
26,-1.85073850270059,1.9939995447109118,-1.8507385027005896,1.9939995447109118,-1.8977806459898774,76.04371474010438
27,-1.8818756880736864,1.9999999999999996,-1.8818756880736862,1.9999999999999996,-1.897780645989872,76.04371734663391
28,-1.8957057519727212,3.721451320380123e-28,-1.8957057519727212,-1.4166117962808423e-17,-1.897780645989875,107.21303621180782
29,-1.8957080072284072,5.524679043026435e-06,-1.8957080072284074,5.524679043026571e-06,-1.8977806459898718,186.2768002722445
30,-1.8957097034269133,5.560776385848054e-18,-1.8957097034269128,-8.604851347060542e-18,-1.897780645989876,186.27771057694326
31,-1.8957396241549045,0.00011007025441021575,-1.8957396241549038,0.000110070254410239,-1.897780645989875,196.67215426358996
32,-1.895761467419427,-8.390975121041187e-18,-1.8957614674194276,-1.4159176891270915e-17,-1.8977806459898656,196.67310246723767
33,-1.8961361675230353,0.0013066279348132228,-1.8961361675230344,0.0013066279348132735,-1.8977806459898705,993.3666197802974
34,-1.8963836023914395,-1.4188857676279596e-17,-1.8963836023914402,4.078410879992631e-28,-1.8977806459898772,993.3720996839863
35,-1.8974552405423475,0.011897961999882491,-1.897455240542347,0.011897961999882804,-1.8977806459898692,1043.4146891672879
36,-1.8977806459898736,-1.005285275920255e-17,-1.8977806459898747,-1.4166603159182686e-17,-1.8977806459898772,1043.4203943546847
