subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.3533410919322044,0.0,-1.3533410919322044,0.0,-1.575616476701867,10.47060746404326
2,-1.3533410919322044,2.0198669848147525e-28,-1.3533410919322044,2.0198669848147265e-28,-1.6476408473837878,14.086835019920052
3,-1.4499340432716852,2.0,-1.4499340432716852,1.9999999999999998,-1.652766981081847,14.086855807549117
4,-1.4973333002670444,1.7315416198944185,-1.497333300267044,1.731541619894419,-1.7431945469626309,14.96218200713026
5,-1.5737705940443876,2.0,-1.5737705940443873,1.9999999999999998,-1.8177413617122733,14.962203341607584
6,-1.573770594044388,2.0,-1.5737705940443873,2.0,-1.8888389566571764,16.984219112369903
7,-1.573770594044389,2.0,-1.5737705940443871,2.0,-1.8891500937418897,16.984269748389792
8,-1.5737705940443858,2.0,-1.5737705940443887,2.0,-1.889592951758857,18.952024931867637
9,-1.5924943324664622,1.962124180677961,-1.6530632656263027,4.271636505411658,-1.8905998811690667,20.129690730124366
10,-1.6860650336237852,2.7071183894585165,-1.7253202002882666,5.212928099636161,-1.8931403427600657,20.12969173226558
11,-1.741366568822691,2.3765762620117594,-1.8400816452333657,6.000000000000002,-1.8935950444783545,21.380536935760382
12,-1.7413665688226918,2.376576262011743,-1.840081645233365,6.0,-1.8957057519727163,22.850082620458206
13,-1.741366568822692,2.3765762620117616,-1.8400816452333677,5.999999999999999,-1.8961450969601186,22.85011702530174
14,-1.7413665688226891,2.3765762620117434,-1.8400816452333664,6.000000000000003,-1.8964896888926812,24.26997104326233
15,-1.7922328193886221,2.0000000000000004,-1.8400816452333666,6.000000000000001,-1.8971008726446665,24.270008794262896
16,-1.7942513920228036,2.0840345553679667,-1.8400816452333666,6.0,-1.8975559210903816,27.54993536534092
17,-1.8084448456770643,1.9533472394598326,-1.8400816452333681,6.0,-1.8976143299228936,70.38704862606352
18,-1.8401933903508854,1.9999999999999998,-1.8400816452333664,6.000000000000002,-1.8976545830127085,70.38729032463075
19,-1.840193390350884,2.0000000000000004,-1.840081645233366,6.000000000000001,-1.8977536486075226,94.69658230808737
20,-1.8401933903508862,2.0,-1.8401933903508845,2.0000000000000004,-1.897780645989878,94.69704722406686
21,-1.8401933903508856,2.0000000000000004,-1.8401933903508847,2.0,-1.897780645989877,100.58096782870086
22,-1.8401933903508843,1.9999999999999998,-1.840193390350885,2.0,-1.8977806459898732,100.5814566268934
23,-1.8410222245880297,1.9979876260224407,-1.8401933903508867,2.0,-1.897780645989876,114.1738013427985
24,-1.843122591059211,2.0,-1.8401933903508854,2.0000000000000004,-1.897780645989873,114.17453379253304
25,-1.8445508704188598,1.996661454396723,-1.8410222245880299,1.99798762602244,-1.8977806459898734,380.87326186398207
26,-1.849287154255891,2.0,-1.843122591059212,2.0000000000000004,-1.8977806459898747,380.876047960751
27,-1.8519308371026586,1.0567568639030402,-1.8445508704188587,1.996661454396722,-1.8977806459898736,473.1677358501126
28,-1.8528971882657905,1.1561790334526245,-1.8492871542558913,2.0,-1.8977806459898723,512.4159929835613
29,-1.8534564147112218,1.2022667437974546,-1.8546369784762127,-5.9369376622558944e-18,-1.8977806459898738,512.4189851531709
30,-1.8566499398087892,1.4359533100986108,-1.8561463932429945,0.007987601794439504,-1.8977806459898774,544.2571704612141
31,-1.8649282159705416,2.0000000000000004,-1.8570347442132449,1.1513620088729438e-17,-1.8977806459898696,544.2603756577698
32,-1.864928215970542,1.9999999999999996,-1.8615885667962169,0.12266924673438452,-1.8977806459898718,617.8107852540019
33,-1.881875688073687,1.9999999999999998,-1.8649403599042482,2.0000000000000004,-1.8977806459898703,617.8134626317974
34,-1.8818756880736862,2.0,-1.8649403599042478,1.9999999999999996,-1.897780645989872,2560.3619365208556
35,-1.881875688073686,2.0,-1.8818756880736858,1.9999999999999998,-1.8977806459898716,2560.3894575911318
36,-1.8977806459898738,-1.828035356043348e-17,-1.8977806459898734,1.4166603159939376e-17,-1.8977806459898705,13854.545044386208
