subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-2.368421284279992,0.0,-2.368421284279992,0.0,-2.368421284279992,32.73035828514512
2,-2.368421284279992,7.029049841220792e-33,-2.368421284279992,7.029049841220792e-33,-2.412439241406227,40.067932799712366
3,-2.3737005720809945,2.0,-2.3737005720809945,2.0,-2.4344662786209836,40.06794167910963
4,-2.396090987971273,1.544682432181093e-33,-2.396090987971273,1.544682432181093e-33,-2.4871845549746965,46.572914876553256
5,-2.4344662786209827,2.1570269884423856e-31,-2.4344662786209827,2.1570269884423856e-31,-2.5334198157026315,48.267260202898655
6,-2.4344662786209827,1.1848053673074603e-29,-2.4344662786209827,1.1495388570117967e-29,-2.557031233610551,58.49180171354793
7,-2.4429895830719786,2.0000000000000004,-2.44298958307198,1.9999999999999998,-2.5980858084936616,58.491851503554344
8,-2.4522463058457857,0.08297150337068526,-2.443369856805662,0.05223095161398454,-2.6338216476590737,62.69552996782634
9,-2.468966670899903,0.15053935826738263,-2.4692021584704142,0.321628745347616,-2.6485701759156273,62.69554650973445
10,-2.496562038913888,0.6369596621600186,-2.488918308747005,0.6246959430489571,-2.648880840571776,71.2928790572839
11,-2.5265216789511777,1.1873609766041742,-2.5044332117312536,0.1592443147212021,-2.649258693853684,71.29295445134171
12,-2.526521678951178,1.1873609766041746,-2.534121627208021,0.23354328216372772,-2.6597513177292207,75.36434156319316
13,-2.5265216789511786,1.1873609766041815,-2.5366371059520048,-1.347916974797208e-18,-2.660346179124095,75.36446203897624
14,-2.5265216789511786,1.1873609766041737,-2.536637105952005,-6.157758061684835e-18,-2.6892180068888747,77.08781235401858
15,-2.5265216789511786,1.1873609766041824,-2.5366371059520043,-4.656623054174893e-18,-2.716883014523856,77.087902873517
16,-2.5393354230709715,1.9838778385911593,-2.5366371059520048,-1.5321803164125706e-19,-2.7173088680666213,82.48871254456506
17,-2.5596166086068686,2.014145860854449,-2.5366371059520048,4.631814017894188e-28,-2.717801059598676,82.48875661973541
18,-2.5795266645577337,1.9846908772307486,-2.5366371059520043,6.157758062687234e-18,-2.735410801970882,84.47640147198088
19,-2.60383790104206,2.016892124550229,-2.5366371059520056,6.3109760948723906e-18,-2.753253739113556,84.47645688782528
20,-2.603837901042062,2.0168921245502296,-2.536637105952004,-4.656623054235243e-18,-2.768804273106352,85.0030217506146
21,-2.603837901042066,2.0168921245502296,-2.536637105952006,6.1577580626962814e-18,-2.7844373070885826,85.00305154552733
22,-2.6038379010420596,2.01689212455023,-2.536637105952004,-6.157758061751985e-18,-2.792861465760513,88.12381611258215
23,-2.6038379010420614,2.016892124550229,-2.536637105952006,6.157758062689637e-18,-2.793009295419852,88.12387265844073
24,-2.6068940968524106,1.5444127078463168,-2.5366371059520056,1.3969869164602114e-17,-2.7931733518507778,94.31613699759892
25,-2.6294190445046395,1.7866110523739946,-2.536637105952006,-4.656623054234546e-18,-2.811079210586538,94.31626754498583
26,-2.62941904450464,1.7866110523739933,-2.536637105952005,-1.2162298091783256e-17,-2.829282563546897,101.17499160729828
27,-2.63769058401887,2.019082408346227,-2.536637105952006,4.6566230581592886e-18,-2.8293156642640547,101.17502416645385
28,-2.6376905840188725,2.019082408346228,-2.564278231390775,9.76151443343568,-2.8293803935611925,121.95361514718306
29,-2.6493650834125173,1.7722561648605473,-2.604079511833243,10.36217913959196,-2.829451082814298,128.60112838049827
