subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.9014563163540954,0.0,-1.9014563163540954,0.0,-2.368421284279992,41.87244169308626
2,-1.9014563163540954,0.0,-1.9014563163540954,0.0,-2.412439241406227,67.95150135083331
3,-1.9014563163540954,0.0,-1.9014563163540954,0.0,-2.434466278620985,67.95172671152139
4,-1.9014563163540954,0.0,-1.9557504752288346,3.993992087086098,-2.487184554974691,68.05290126660475
5,-1.9799123263756806,2.04172617520289,-2.105510368224835,5.156587002673263,-2.5334198157026293,68.05295311146821
6,-2.0038389433855213,1.780080648498128,-2.1500980229815543,5.5429006566158465,-2.5570312336105507,70.9604207541612
7,-2.0449770150786493,2.044882280858365,-2.1500980229815543,5.5429006566158465,-2.5980858084936633,70.96047351610144
8,-2.044977015078649,2.044882280858365,-2.16266073239004,5.801763837313825,-2.633821647659072,91.5584726594512
9,-2.0449770150786497,2.044882280858366,-2.2816976344473514,6.945551100169851,-2.6485701759156237,91.55873620016881
10,-2.0449770150786493,2.044882280858366,-2.315083318717046,7.299646076220219,-2.648880840571792,96.14595757974946
11,-2.044977015078648,2.0448822808583658,-2.3397524185238385,7.614544249015445,-2.6492586938536915,96.14622707309633
12,-2.1032147353264077,1.6296500216616423,-2.3676800866007963,8.011400834939815,-2.659751317729222,108.1635378347646
13,-2.1786595071941037,2.0161912335038292,-2.408850930476883,8.505378634967169,-2.6603461791240823,108.16365876356326
14,-2.1786595071941037,2.0161912335038292,-2.4648364910708196,9.041272540520808,-2.6892180068888702,110.27352747360331
15,-2.1786595071941015,2.016191233503829,-2.5059200039933636,9.451046133500046,-2.716883014523861,110.43779985836527
16,-2.1786595071941046,2.0161912335038292,-2.5513275079194817,9.918022867587853,-2.717308868066615,110.4380819893293
17,-2.1786595071941046,2.0161912335038297,-2.6040182073442577,10.392493639798666,-2.7178010595986817,110.47574773913317
18,-2.1786595071941037,2.01619123350383,-2.623669565681401,10.631062230167318,-2.7354108019708887,110.47590444321746
19,-2.1786595071941055,2.0161912335038292,-2.664841481190635,11.059656162656882,-2.7532537391135485,110.60259950783583
20,-2.216769763318694,1.8470144035911749,-2.712576354229978,11.558084104375594,-2.768804273106343,111.91689688275866
21,-2.2656767899769754,2.013156504729995,-2.755619643398639,12.000000000000004,-2.784437307088583,111.91701566247109
22,-2.265676789976976,2.013156504729994,-2.755619643398637,12.0,-2.792861465760521,115.15618667113213
23,-2.2656767899769776,2.013156504729995,-2.755619643398634,12.000000000000004,-2.793009295419843,115.15648296233687
24,-2.265676789976978,2.013156504729994,-2.755619643398637,12.000000000000002,-2.793173351850771,115.32802728387624
25,-2.26567678997698,2.0131565047299946,-2.7556196433986386,12.000000000000004,-2.8110792105865374,115.32802939338343
26,-2.265676789976977,2.0131565047299955,-2.7556196433986395,11.999999999999998,-2.8292825635469034,120.25534824372295
27,-2.2693117052623757,2.005211662136856,-2.755619643398637,12.000000000000005,-2.829315664264054,124.70313961666312
28,-2.275095520748852,2.018314900586162,-2.7556196433986386,12.000000000000005,-2.8293803935611845,124.70342970108064
29,-2.2751200071326543,2.0183704232528106,-2.7556196433986386,11.999999999999998,-2.8294510828142823,148.58349155247927
30,-2.275157846408139,2.0185624685105132,-2.755619643398636,12.000000000000004,-2.829497842015774,148.58355664763155
31,-2.276098476207155,2.0150768911090156,-2.755619643398634,12.0,-2.8295418461679245,148.80489875707616
32,-2.2774151003889864,2.0147624153029313,-2.7556196433986386,11.999999999999998,-2.8295780755232993,148.80521371062056
33,-2.279127326414055,2.006926368319499,-2.755619643398637,12.000000000000004,-2.8296264553664687,155.16249618178912
34,-2.2809597705602296,2.00005772544457,-2.7556196433986395,12.000000000000002,-2.829666983102943,155.16282742966942
35,-2.2810540513185353,1.9998962331829195,-2.755619643398638,12.000000000000007,-2.8297222618941036,156.02817066943987
36,-2.281186072709312,2.0000816716362655,-2.7556196433986377,12.0,-2.8297819334236074,156.02825079473223
37,-2.285229359241275,2.0302928489452503,-2.755619643398637,11.999999999999998,-2.829893600409868,156.26068312400923
38,-2.2901021272065427,2.089949971786625,-2.7556196433986377,12.000000000000004,-2.8300189558738804,156.26100207197453
39,-2.291592887065727,2.090269966824536,-2.7556196433986364,12.0,-2.8301553308682967,162.93682433247074
40,-2.2936214862724054,2.0968716851868727,-2.755619643398637,12.0,-2.830330236699646,162.93715988763427
41,-2.2936214862724036,2.0968716851868736,-2.7556196433986377,12.0,-2.8303793958495156,175.53012172451062
42,-2.293621486272405,2.096871685186873,-2.7556196433986373,12.0,-2.8304329603410787,175.53090011546863
