subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
1,-1.9745608398354921,-1.9745608398354921,55.50728403671088
2,-1.9745608398857166,-1.9745608398354921,59.706471217231744
3,-1.9745608398873875,-2.062094317759455,70.36668665133415
4,-1.9745608398873866,-2.0620943177594553,72.90261374667506
5,-1.9754794256603319,-2.1048293210414397,74.437302086891
6,-1.9754823959107293,-2.139900071980693,76.75069734271419
7,-2.079736906027894,-2.1425560588226085,77.08711318520395
8,-2.0797572913614157,-2.191595091006742,78.4177767812964
9,-2.119603184128798,-2.222725458379046,80.06856598496057
10,-2.119637223659659,-2.226165159600213,81.69847258497033
11,-2.1200652938872717,-2.230145388269945,82.55697214016978
12,-2.12025841329702,-2.2343341427165595,84.90165238920835
13,-2.120263400132326,-2.2708332031394756,92.41877830273131
14,-2.120418833549903,-2.2922383688566357,94.36430555050673
15,-2.12437742155525,-2.319009403212237,96.33295711565266
16,-2.1244180626341276,-2.340304300949951,96.67174226089557
17,-2.1297258666681573,-2.356173725365407,97.29700099565842
18,-2.1372226507541123,-2.3824842788829717,99.8930675809367
19,-2.1372435306002022,-2.4031644299861883,101.2453074387559
20,-2.164219706124404,-2.418996499452412,103.37664381810377
21,-2.1993410674567713,-2.432954169663173,103.62065143544977
22,-2.207374202391783,-2.443279451611769,103.98506605011363
23,-2.20784600377984,-2.4688592757063823,106.58942868089439
24,-2.217681896521166,-2.492667367878228,107.30181261645339
25,-2.2974168031414486,-2.5033668561547975,109.56064576719228
26,-2.2978952746824928,-2.5198569093919545,111.50883128223924
27,-2.298945471231044,-2.5360804349435186,112.96561976593965
28,-2.3063045882717645,-2.5588783011321268,113.77095565999913
29,-2.319592966565879,-2.580606034208403,113.85622727265756
30,-2.3233497450696903,-2.604459553921538,117.39470124516986
31,-2.341324598771781,-2.6262474125435085,122.12146793329579
32,-2.3425452244419267,-2.639449453904088,122.3778537782191
33,-2.342724392586411,-2.641567054927863,122.55094648860882
34,-2.3511061089177874,-2.645206362679559,131.19837960378538
35,-2.3523742066753623,-2.648268439214805,133.78477613367548
36,-2.3542535566666736,-2.651013532301325,133.96026444007953
37,-2.3543419086634674,-2.654711769799247,134.25527238097038
38,-2.354413638291439,-2.6577981072326113,138.12354053333132
39,-2.354488573109669,-2.661615040223523,140.09387441926523
40,-2.3765512607648818,-2.6648846624807208,141.78779582760882
41,-2.3795949653856194,-2.668751469379809,142.24556209074518
42,-2.3850596209197072,-2.6719723555499875,142.2864372110086
43,-2.385374519593999,-2.6786100104150914,144.22765094496887
44,-2.394804068568354,-2.6840753686432977,147.34691816750427
45,-2.395080194979784,-2.6901781648147685,147.86510995323493
46,-2.3965609468297497,-2.695262828486665,153.0065955511896
47,-2.401490681124322,-2.6953562187483984,153.36348426707139
48,-2.406612299196396,-2.695456973573066,154.4030695735885
49,-2.407459282853242,-2.698398042515116,157.72373794424053
50,-2.412615796517346,-2.6985186895456876,158.00222778601042
51,-2.4131161975411763,-2.6986476581953327,162.0051963106232
52,-2.4158324532504807,-2.7023796816686545,164.9656007869205
53,-2.4187036730320837,-2.705490985989515,166.08383186701437
54,-2.420944246723784,-2.7064619671605894,167.453938041842
55,-2.423444078157635,-2.7076327826479742,173.36453696889572
56,-2.4289491611006824,-2.710455346862896,173.97422789498725
57,-2.430791318222756,-2.713323452106512,174.0193615498262
58,-2.433086380363858,-2.7157452160402085,180.32496218987154
59,-2.4344111187786357,-2.7169696127292178,183.6801627366749
60,-2.441053902093194,-2.718519003209865,183.99764629644224
61,-2.445956155521895,-2.7217824157220103,187.8710196624445
62,-2.4474781749931496,-2.7244132104277794,193.70975794834388
63,-2.454428545376009,-2.727667946743643,194.41917269885698
64,-2.455540959650764,-2.7302698649970885,195.73705691496582
65,-2.457248759308596,-2.731106475605063,197.54704153296515
66,-2.458626605422215,-2.731944888474935,197.5757693775926
67,-2.464603063595563,-2.7329994081565525,204.74663748591288
68,-2.4677777688136566,-2.733933452629365,207.1525016144909
69,-2.4687923914664127,-2.7349413843956762,207.5161598463692
70,-2.4710616646219523,-2.735681482353314,209.36432679931661
71,-2.4743537745201127,-2.7367812061895966,211.51331273683306
72,-2.4774623137644287,-2.7378809147562166,212.7757186566078
73,-2.4807350830874952,-2.7378904704799973,212.98733085830696
74,-2.4873666280807774,-2.737903124612518,214.431080657634
75,-2.490641011255343,-2.7405581721496928,217.25490531016266
76,-2.4940821128749717,-2.740576809338405,217.5729451750637
77,-2.4998957526711227,-2.740602652341943,218.08681661876687
78,-2.505114364880355,-2.7407566298576205,224.00684893463975
79,-2.5144904207660304,-2.740998232837986,225.72825589236436
80,-2.5211660618815412,-2.741914611719851,227.25837095993097
81,-2.5226130375251943,-2.742741130563169,232.85168207490509
82,-2.530960430831497,-2.7435631325400704,234.57846040222614
83,-2.5425393403416194,-2.7441945056261425,236.16856721171249
84,-2.5502361705486836,-2.744592652472116,243.1330847978628
85,-2.5517666822902387,-2.7449963119854144,243.98813876810195
86,-2.5555157494625336,-2.7453392286119263,249.83950270215269
87,-2.5579474295097113,-2.745650787929137,255.0903676965016
88,-2.5595927076859977,-2.746175265455094,255.99064687837148
89,-2.5601336967734882,-2.7467069603742402,268.7401362882009
90,-2.561979994436944,-2.7487871675115105,270.34990092147774
91,-2.56386912404539,-2.749666974708874,272.5492826755419
92,-2.5706898149096347,-2.750386941443281,273.7297338031184
93,-2.571837894020567,-2.750810667200485,274.6923905137649
94,-2.573043380230418,-2.7515264735579805,275.9988921130835
95,-2.5740012566422434,-2.7533809963411486,277.86977027046964
96,-2.575523421879102,-2.7549079335653093,278.2867752668202
97,-2.576554667353271,-2.7555630527472403,280.94960144597377
98,-2.583361023476607,-2.7561054347375786,281.16020986331245
99,-2.5854177005410075,-2.7563404730941907,282.14899818028204
100,-2.5865875922562807,-2.756555566818505,286.9354942237368
101,-2.5899666742541676,-2.7571078264237148,287.14454780836274
102,-2.5908241512746875,-2.7575885184728266,299.0627609054012
103,-2.5914652494227446,-2.7580370887006245,316.32145524702986
104,-2.593037502689535,-2.7583899090375996,316.7219997314296
105,-2.5949886553006283,-2.7587867356834623,323.27974080510984
106,-2.5955597133789796,-2.7590929926095105,327.44839037527674
107,-2.5977382147835693,-2.760317720546404,330.5579660031112
108,-2.5996074280537163,-2.76134910409049,332.0552667277921
109,-2.600819208173417,-2.7620127236367797,333.53433411648723
110,-2.602311057379067,-2.7626823018015156,346.97078693668936
111,-2.603290304786836,-2.7633466085674607,352.22022180260115
112,-2.6049219570548527,-2.7638585667074365,352.96866259365186
