subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
1,-1.0465882364452779,-1.0465882364452779,1.5040748529320684
2,-1.0465882364452779,-1.0800114006823356,5.385870411216411
3,-1.046588236445278,-1.1022349555252062,8.770081698785683
4,-1.083617155710992,-1.1029029288848062,31.404370223570066
5,-1.0837250125149818,-1.1035285859969728,603.1084361330293
6,-1.0838196977503858,-1.1044957409081286,1362.052915565157
7,-1.0841219459652836,-1.1053671850927655,2736.033652925357
8,-1.0857095382809843,-1.1062501751497333,3516.6536078988765
9,-1.0861430137975305,-1.1070471709223104,4696.774688261788
10,-1.0877259939768147,-1.1071667497227846,4877.310781543091
11,-1.0878128040517754,-1.107280784208117,9797.333335276879
12,-1.0878914706974214,-1.1073289852310089,27386.33496633889
13,-1.0881334604104214,-1.1073289852310224,546160.0546246452
14,-1.0881526470942855,-1.1073289852310322,1097102.9629319094
15,-1.0881696552947222,-1.1073289852310433,4253282.770753516
16,-1.0883710049020745,-1.107328985231053,8543812.551776398
