basis,subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
6-31g*,1,-1.0465882364452788,-1.0465882364452788,1.5040692258812003
6-31g*,2,-1.0465882364452788,-1.0800114006823367,5.385911608976188
6-31g*,3,-1.0465882364452785,-1.1022349555252093,8.770121645353937
6-31g*,4,-1.0836171557110204,-1.102902928884807,31.40487097870857
6-31g*,5,-1.0837250125150089,-1.103528585996971,603.1132022776785
6-31g*,6,-1.0838196977504144,-1.1044957409081404,1362.0612740712772
6-31g*,7,-1.084121945965312,-1.1053671850927902,2736.0930099872835
6-31g*,8,-1.0857095382810282,-1.106250175149764,3516.7105734746156
6-31g*,9,-1.086143013797578,-1.107047170922352,4696.823175756987
6-31g*,10,-1.087725993976877,-1.1071667497228241,4877.396267355602
6-31g*,11,-1.0878128040518398,-1.107280784208154,9797.657482883087
6-31g*,12,-1.0878914706974872,-1.1073289852310497,27386.844893374597
6-31g*,13,-1.08813346041048,-1.1073289852310482,546169.7657049383
6-31g*,14,-1.0881526470943461,-1.1073289852310513,1097139.5389173015
6-31g*,15,-1.0881696552947804,-1.1073289852310524,4253368.6939249765
6-31g*,16,-1.0883710049021362,-1.1073289852310573,8544118.07595218
6-31g*,17,-1.0883710049021351,-1.1073289852310584,399472151318.53754
6-31g*,18,-1.0883710049021351,-1.107328985231051,760205612362.4349
6-31g*,19,-1.0883710049021387,-1.107328985231062,1430467202058.919
6-31g*,20,-1.0883710049021376,-1.107328985231059,4432705344369.517
6-31g*,21,-1.0883710049021385,-1.1073289852310593,21567431340668.664
6-31g*,22,-1.0883710049021356,-1.1073289852310542,47434919579425.625
6-31g*,23,-1.0883710049021478,-1.1073289852310564,77230673186234.9
6-31g*,24,-1.088371004902144,-1.1073289852310522,160183403966212.38
6-31g*,25,-1.0883710049021529,-1.107328985231056,276589672727792.66
6-31g*,26,-1.0883710049021535,-1.1073289852310562,688430164721373.5
6-31g*,27,-1.0883710049021542,-1.107328985231055,1247449270350676.8
6-31g*,28,-1.088371004902149,-1.1073289852310564,1382910591047511.0
6-31g*,29,-1.0883710049021513,-1.1073289852310582,8648273867284123.0
6-31g*,30,-1.0883710049021516,-1.107328985231061,4.295631204073349e+16
6-31g*,31,-1.0883710049021509,-1.107328985231055,6.734956717371286e+16
6-31g*,32,-1.0883710049021538,-1.1073289852310544,8.62901451979231e+16
6-31g*,33,-1.1056787875468266,-1.1073289852310604,2.0190624619451856e+23
