subspace_size,qsci_energy,spin_symm_energy,fci_subspace_energy,mean_sample_number
1,-1.5756164767018652,-1.5756164767018652,-1.5756164767018652,6.588646350793852
2,-1.5756164767018652,-1.5756164767018652,-1.6476408473838053,8.790584123861494
3,-1.6119451785021295,-1.6119451785021304,-1.6527669810818661,8.790584123861494
4,-1.6476408473838045,-1.6476408473838065,-1.7431945469626422,11.728417906587282
5,-1.6572441171647572,-1.6572441171647565,-1.8177413617122788,14.176398099010958
6,-1.7222918240955387,-1.7222918240955396,-1.8888389566571757,14.176398099010958
7,-1.7222918240955412,-1.722291824095541,-1.8891500937418861,18.829898573906245
8,-1.72229182409554,-1.7222918240955396,-1.8895929517588583,18.829898573906245
9,-1.7398948563092018,-1.7536235505015734,-1.890599881169066,18.829898573906245
10,-1.7982004555735978,-1.7575564483387611,-1.8931403427600664,18.829898573906245
11,-1.7982004555736,-1.8008589758606508,-1.8935950444783511,18.829898573906245
12,-1.7982004555735955,-1.840081645233366,-1.8957057519727216,18.829898573906245
13,-1.8447658092129398,-1.8400816452333637,-1.8961450969601186,25.122894736193295
14,-1.844765809212931,-1.840081645233366,-1.8964896888926743,25.122894736193295
15,-1.8762261960717839,-1.8464104816198694,-1.8971008726446628,30.502528137601395
16,-1.8790038845895984,-1.8464104816198708,-1.8975559210903745,40.515193426941586
17,-1.8793374174380295,-1.8762261960717852,-1.8976143299228891,40.515193426941586
18,-1.879540730065333,-1.8937240507176483,-1.8976545830127072,53.81460543008508
19,-1.88000286319421,-1.8940748859239602,-1.8977536486075142,4405.89975765792
20,-1.8802332416862102,-1.894286139340932,-1.8977806459898667,4405.89975765792
21,-1.8802332416862106,-1.8947550448660653,-1.8977806459898725,5660.4039894440375
22,-1.880233241686213,-1.8949803267584762,-1.8977806459898745,5660.4039894440375
23,-1.8802332416862082,-1.8949803267584775,-1.8977806459898763,5878.36176575311
24,-1.8802332416862033,-1.8949803267584706,-1.8977806459898636,5878.36176575311
25,-1.8802332416862064,-1.8949803267584746,-1.897780645989869,7552.124247137179
26,-1.8802332416862058,-1.894980326758476,-1.89778064598987,7552.124247137179
27,-1.8802332416862093,-1.894980326758473,-1.897780645989872,9479.917281582835
28,-1.8818756880736769,-1.8949803267584708,-1.8977806459898734,9479.917281582835
29,-1.8818756880736842,-1.8949803267584733,-1.8977806459898723,12179.160796158349
30,-1.8818756880736895,-1.8949803267584793,-1.8977806459898734,12179.160796158349
31,-1.8818756880736867,-1.8951135469179246,-1.8977806459898716,12591.77026855764
32,-1.8818756880736836,-1.8951880539848645,-1.8977806459898714,12591.77026855764
33,-1.8818756880736827,-1.8953129478537722,-1.8977806459898683,16177.060437751405
34,-1.885144350767088,-1.8953406058706734,-1.897780645989874,16177.060437751405
35,-1.8956018227731417,-1.8956018227731422,-1.8977806459898678,2946280.417282716
36,-1.897780645989878,-1.8977806459898812,-1.8977806459898674,4862943.54826885
